ReturnID,TransactionID,ReturnDate,StoreID,ProductID,ReturnQty,ReturnAmount,Reason
R0001154,T0001154,22-05-2024,S029,P0101,1,1.79,Not as Described
R0001167,T0001167,10-02-2024,S010,P0171,2,35.78,Damaged
R0001181,T0001181,23-04-2025,S028,P0120,2,3.44,Damaged
R0001197,T0001197,09-09-2025,S026,P0104,1,1.11,Damaged
R0001210,T0001210,27-08-2024,S007,P0044,1,7.73,Wrong Item
R0001252,T0001252,26-03-2025,S017,P0180,2,74.03,Expired
R0001308,T0001308,22-08-2024,S025,P0094,2,6.56,Wrong Item
R0001316,T0001316,12-04-2025,S029,P0054,2,4.36,Changed Mind
R0001330,T0001330,19-01-2024,S028,P0071,1,4.3,Not as Described
R0001338,T0001338,11-10-2024,S022,P0006,1,4.02,Wrong Item
R0001357,T0001357,11-12-2024,S001,P0060,1,4.91,Wrong Item
R0001369,T0001369,04-06-2024,S025,P0128,2,3.68,Wrong Item
R0001416,T0001416,18-10-2025,S026,P0086,2,11.41,Damaged
R0001418,T0001418,16-03-2024,S004,P0058,1,6.24,Changed Mind
R0001428,T0001428,11-09-2025,S013,P0039,1,2.19,Not as Described
R0001456,T0001456,21-08-2024,S011,P0136,2,10.68,Damaged
R0001566,T0001566,19-08-2025,S028,P0138,2,2.3,Damaged
R0001568,T0001568,20-01-2025,S026,P0162,1,42.91,Wrong Item
R0001575,T0001575,15-03-2024,S026,P0033,2,3.7,Wrong Item
R0001576,T0001576,07-10-2025,S023,P0055,1,6.43,Wrong Item
R0001662,T0001662,22-11-2024,S001,P0144,1,2.1,Not as Described
R0001748,T0001748,06-01-2025,S026,P0164,1,59.99,Damaged
R0001781,T0001781,11-02-2025,S018,P0041,1,2.06,Damaged
R0001790,T0001790,09-10-2025,S030,P0116,2,2.22,Damaged
R0001792,T0001792,17-08-2025,S006,P0006,2,10.86,Changed Mind
R0001795,T0001795,16-09-2025,S015,P0160,1,32.57,Wrong Item
R0001797,T0001797,07-06-2025,S012,P0102,1,3.56,Not as Described
R0001804,T0001804,23-07-2024,S020,P0110,1,5.11,Wrong Item
R0001836,T0001836,08-07-2024,S030,P0140,1,1.74,Wrong Item
R0001842,T0001842,11-05-2025,S017,P0143,1,1,Damaged
R0001881,T0001881,06-09-2024,S020,P0027,1,4.46,Changed Mind
R0001913,T0001913,16-05-2024,S025,P0175,1,54.26,Changed Mind
R0001945,T0001945,28-09-2024,S027,P0136,1,5.45,Wrong Item
R0001964,T0001964,17-01-2025,S009,P0097,1,1.38,Wrong Item
R0001965,T0001965,07-09-2025,S011,P0036,1,2.54,Damaged
R0001973,T0001973,02-05-2024,S030,P0114,1,7.25,Damaged
R0002072,T0002072,31-03-2025,S012,P0130,2,9.22,Damaged
R0002093,T0002093,11-02-2024,S021,P0142,1,1.9,Changed Mind
R0002098,T0002098,19-02-2024,S016,P0084,2,14.32,Wrong Item
R0002105,T0002105,23-11-2024,S020,P0006,1,5.43,Not as Described
R0002121,T0002121,29-07-2024,S019,P0080,1,6.18,Expired
R0002133,T0002133,12-02-2024,S021,P0074,2,9.95,Not as Described
R0002141,T0002141,22-05-2024,S014,P0051,1,6.76,Wrong Item
R0002170,T0002170,01-02-2025,S013,P0159,1,46.39,Not as Described
R0002179,T0002179,24-04-2025,S024,P0169,2,83.66,Expired
R0002191,T0002191,14-03-2025,S003,P0052,1,5.62,Expired
R0002196,T0002196,12-01-2024,S022,P0028,1,5.9,Not as Described
R0002202,T0002202,12-04-2025,S026,P0029,2,17.7,Wrong Item
R0002241,T0002241,29-01-2024,S024,P0144,1,2.1,Not as Described
R0002297,T0002297,11-08-2024,S021,P0066,1,7.75,Damaged
R0002467,T0002467,31-01-2024,S016,P0028,2,11.8,Expired
R0002483,T0002483,14-05-2025,S002,P0152,1,50.51,Damaged
R0002493,T0002493,01-08-2024,S004,P0095,1,3.74,Expired
R0002540,T0002540,18-05-2025,S010,P0124,2,11.47,Wrong Item
R0002546,T0002546,31-08-2024,S013,P0034,2,6.34,Changed Mind
R0002579,T0002579,18-09-2025,S009,P0100,1,4.4,Damaged
R0002588,T0002588,06-11-2024,S001,P0162,1,42.91,Not as Described
R0002596,T0002596,04-07-2024,S003,P0076,1,5.85,Damaged
R0002607,T0002607,29-05-2025,S018,P0096,1,5.91,Expired
R0002684,T0002684,09-07-2024,S011,P0131,2,6.46,Expired
R0002738,T0002738,30-12-2024,S005,P0013,1,3.88,Expired
R0002748,T0002748,09-05-2025,S011,P0083,2,15.46,Not as Described
R0002816,T0002816,19-11-2024,S013,P0021,1,2.02,Not as Described
R0002835,T0002835,18-10-2025,S018,P0012,1,4.43,Not as Described
R0002893,T0002893,03-03-2025,S030,P0108,2,10.5,Wrong Item
R0002902,T0002902,18-12-2024,S022,P0089,1,4.42,Not as Described
R0003075,T0003075,16-08-2025,S026,P0056,2,7.2,Expired
R0003083,T0003083,15-10-2025,S017,P0179,2,77.12,Expired
R0003111,T0003111,13-12-2024,S020,P0171,2,35.78,Changed Mind
R0003124,T0003124,06-09-2024,S016,P0035,2,6.08,Not as Described
R0003126,T0003126,04-04-2025,S013,P0033,1,1.85,Damaged
R0003166,T0003166,02-05-2024,S029,P0153,1,21.64,Changed Mind
R0003179,T0003179,18-05-2025,S015,P0025,1,8.09,Damaged
R0003334,T0003334,27-04-2025,S025,P0130,2,9.22,Expired
R0003362,T0003362,30-05-2024,S013,P0136,2,10.9,Changed Mind
R0003408,T0003408,16-10-2025,S004,P0036,2,6,Expired
R0003409,T0003409,13-07-2024,S007,P0172,2,64.65,Changed Mind
R0003444,T0003444,23-08-2025,S010,P0126,2,6.54,Expired
R0003451,T0003451,30-12-2024,S025,P0024,1,9.38,Expired
R0003593,T0003593,06-09-2025,S004,P0106,1,3.5,Wrong Item
R0003596,T0003596,08-03-2024,S019,P0044,2,14.53,Wrong Item
R0003614,T0003614,26-05-2024,S005,P0035,1,3.04,Wrong Item
R0003623,T0003623,05-02-2025,S013,P0060,2,7.17,Not as Described
R0003638,T0003638,27-04-2025,S001,P0016,2,7.62,Wrong Item
R0003647,T0003647,06-01-2025,S014,P0134,1,5.14,Not as Described
R0003675,T0003675,31-07-2024,S008,P0030,1,9.85,Changed Mind
R0003678,T0003678,14-07-2024,S009,P0029,1,8.41,Damaged
R0003687,T0003687,23-08-2024,S006,P0067,1,2.97,Damaged
R0003688,T0003688,08-02-2025,S013,P0099,2,7.16,Damaged
R0003704,T0003704,18-01-2025,S012,P0031,2,8.74,Expired
R0003775,T0003775,30-03-2025,S019,P0083,1,7.73,Expired
R0003831,T0003831,27-03-2024,S010,P0114,2,14.5,Changed Mind
R0003864,T0003864,08-05-2025,S007,P0117,1,4.48,Wrong Item
R0003887,T0003887,04-07-2024,S022,P0050,1,1.33,Damaged
R0003907,T0003907,21-09-2024,S013,P0123,2,12.11,Wrong Item
R0003954,T0003954,07-01-2025,S002,P0176,2,93.02,Not as Described
R0003958,T0003958,17-06-2024,S021,P0035,1,3.04,Expired
R0004094,T0004094,17-08-2024,S021,P0034,1,3.17,Expired
R0004122,T0004122,10-11-2024,S003,P0070,2,2.08,Wrong Item
R0004126,T0004126,09-02-2025,S009,P0021,1,2.02,Expired
R0004150,T0004150,31-08-2025,S025,P0077,1,1.37,Damaged
R0004189,T0004189,07-02-2025,S021,P0122,2,7.36,Wrong Item
R0004247,T0004247,10-05-2025,S019,P0002,2,21.14,Wrong Item
R0004261,T0004261,31-07-2024,S009,P0004,2,20.84,Not as Described
R0004315,T0004315,28-04-2024,S027,P0101,2,3.58,Changed Mind
R0004426,T0004426,18-08-2024,S012,P0155,2,46.88,Damaged
R0004436,T0004436,08-09-2025,S006,P0068,1,6.08,Damaged
R0004444,T0004444,20-06-2025,S018,P0055,1,5.85,Expired
R0004473,T0004473,29-09-2025,S006,P0089,2,8.84,Not as Described
R0004477,T0004477,01-07-2025,S009,P0011,2,8.84,Wrong Item
R0004525,T0004525,28-01-2025,S005,P0046,1,1.74,Expired
R0004565,T0004565,13-12-2024,S001,P0047,2,2.66,Damaged
R0004612,T0004612,07-08-2024,S003,P0065,1,2.45,Damaged
R0004672,T0004672,06-09-2024,S015,P0154,1,56.12,Changed Mind
R0004674,T0004674,11-10-2025,S002,P0101,1,1.79,Changed Mind
R0004699,T0004699,24-08-2025,S009,P0034,1,2.85,Changed Mind
R0004721,T0004721,07-10-2025,S010,P0107,1,1.29,Not as Described
R0004754,T0004754,11-05-2025,S008,P0066,2,15.5,Damaged
R0004779,T0004779,09-05-2024,S022,P0042,1,3.84,Wrong Item
R0004807,T0004807,08-06-2025,S003,P0034,2,6.34,Expired
R0004865,T0004865,01-04-2024,S015,P0108,1,5.25,Expired
R0004875,T0004875,04-10-2025,S008,P0033,1,1.85,Wrong Item
R0004878,T0004878,04-02-2025,S028,P0127,1,1.96,Expired
R0004937,T0004937,12-08-2025,S008,P0071,1,3.65,Not as Described
R0004956,T0004956,18-08-2025,S024,P0044,1,6.72,Damaged
R0005131,T0005131,07-11-2024,S030,P0104,1,0.94,Expired
R0005183,T0005183,17-05-2025,S020,P0149,1,5.59,Not as Described
R0005185,T0005185,04-07-2024,S026,P0178,1,38.98,Wrong Item
R0005195,T0005195,26-10-2025,S030,P0022,1,7.12,Wrong Item
R0005261,T0005261,17-02-2025,S012,P0015,2,17.46,Changed Mind
R0005267,T0005267,04-07-2024,S018,P0028,1,5.9,Not as Described
R0005271,T0005271,09-09-2024,S023,P0082,1,6.85,Changed Mind
R0005290,T0005290,25-09-2024,S005,P0006,2,9.78,Damaged
R0005294,T0005294,31-03-2025,S004,P0050,2,2.66,Not as Described
R0005316,T0005316,27-06-2025,S026,P0159,2,118.96,Wrong Item
R0005434,T0005434,01-04-2024,S029,P0154,1,56.12,Changed Mind
R0005509,T0005509,11-09-2024,S029,P0111,1,4.81,Expired
R0005511,T0005511,20-07-2024,S003,P0103,2,15.5,Not as Described
R0005527,T0005527,14-09-2024,S015,P0155,1,26.94,Wrong Item
R0005565,T0005565,11-04-2024,S017,P0054,2,4.36,Not as Described
R0005575,T0005575,16-05-2025,S025,P0046,2,3.48,Expired
R0005596,T0005596,03-05-2025,S028,P0156,2,38.58,Wrong Item
R0005616,T0005616,11-10-2024,S008,P0013,2,5.82,Not as Described
R0005640,T0005640,22-02-2024,S017,P0173,2,107.32,Wrong Item
R0005671,T0005671,02-03-2025,S021,P0118,1,1.87,Not as Described
R0005700,T0005700,06-08-2025,S023,P0108,2,10.5,Not as Described
R0005728,T0005728,03-04-2024,S029,P0144,1,2.1,Damaged
R0005800,T0005800,25-09-2024,S024,P0143,2,2,Not as Described
R0005802,T0005802,08-08-2025,S021,P0149,2,11.18,Expired
R0005861,T0005861,03-08-2024,S030,P0098,2,9.36,Changed Mind
R0005885,T0005885,15-03-2025,S007,P0137,2,3.51,Changed Mind
R0005978,T0005978,08-07-2024,S024,P0123,2,12.57,Changed Mind
R0005993,T0005993,04-02-2025,S007,P0147,1,5.09,Changed Mind
R0006073,T0006073,09-12-2024,S027,P0048,2,15.48,Expired
R0006094,T0006094,28-01-2025,S023,P0064,1,6.83,Wrong Item
R0006116,T0006116,30-04-2024,S027,P0021,1,2.02,Not as Described
R0006127,T0006127,01-10-2025,S028,P0144,1,2.1,Not as Described
R0006161,T0006161,01-12-2024,S022,P0007,1,2.45,Changed Mind
R0006238,T0006238,29-06-2025,S025,P0025,1,8.09,Changed Mind
R0006243,T0006243,31-03-2024,S010,P0005,1,10.45,Damaged
R0006301,T0006301,31-03-2024,S030,P0143,1,1,Wrong Item
R0006312,T0006312,01-07-2024,S021,P0091,1,5.56,Changed Mind
R0006364,T0006364,11-03-2025,S028,P0142,1,2.14,Wrong Item
R0006416,T0006416,29-08-2024,S020,P0152,1,50.51,Wrong Item
R0006468,T0006468,09-02-2025,S018,P0102,1,3.56,Damaged
R0006510,T0006510,05-09-2025,S016,P0165,1,46.17,Expired
R0006537,T0006537,13-04-2024,S002,P0110,1,5.68,Wrong Item
R0006548,T0006548,16-04-2025,S023,P0178,1,45.86,Wrong Item
R0006549,T0006549,09-02-2024,S005,P0099,1,2.86,Not as Described
R0006710,T0006710,14-09-2024,S006,P0030,2,19.7,Wrong Item
R0006724,T0006724,16-04-2025,S001,P0077,2,3.22,Changed Mind
R0006741,T0006741,05-06-2025,S017,P0162,1,42.91,Damaged
R0006780,T0006780,21-03-2025,S012,P0110,2,11.36,Not as Described
R0006784,T0006784,22-04-2024,S011,P0065,2,6.7,Not as Described
R0006899,T0006899,24-08-2025,S020,P0105,1,3.96,Changed Mind
R0006927,T0006927,02-09-2024,S010,P0143,1,1,Wrong Item
R0006950,T0006950,14-04-2025,S029,P0005,2,20.9,Changed Mind
R0006973,T0006973,04-02-2025,S005,P0048,1,6.35,Wrong Item
R0006975,T0006975,17-04-2025,S006,P0164,2,89.98,Expired
R0007017,T0007017,01-01-2025,S008,P0038,1,7.9,Damaged
R0007038,T0007038,30-10-2025,S024,P0036,1,2.48,Changed Mind
R0007070,T0007070,19-08-2024,S010,P0004,1,11.84,Expired
R0007071,T0007071,26-10-2025,S021,P0108,1,5.25,Damaged
R0007087,T0007087,14-02-2024,S026,P0155,1,26.94,Expired
R0007116,T0007116,03-06-2024,S018,P0008,1,8.37,Not as Described
R0007189,T0007189,12-06-2025,S014,P0142,2,4.28,Not as Described
R0007215,T0007215,31-03-2024,S030,P0178,1,45.86,Expired
R0007228,T0007228,29-06-2024,S029,P0048,1,7.74,Wrong Item
R0007230,T0007230,10-07-2025,S005,P0134,2,10.28,Expired
R0007235,T0007235,01-01-2025,S021,P0103,2,15.5,Damaged
R0007258,T0007258,26-04-2024,S011,P0046,2,3.48,Not as Described
R0007276,T0007276,06-02-2024,S021,P0144,2,3.36,Wrong Item
R0007298,T0007298,13-07-2024,S010,P0130,1,4.52,Damaged
R0007314,T0007314,23-07-2025,S026,P0078,2,9.06,Expired
R0007316,T0007316,01-01-2025,S007,P0095,1,3.74,Not as Described
R0007377,T0007377,30-06-2024,S006,P0027,1,4.46,Changed Mind
R0007410,T0007410,05-08-2024,S024,P0072,2,12.11,Not as Described
R0007458,T0007458,31-01-2024,S005,P0128,2,3.68,Not as Described
R0007518,T0007518,07-08-2024,S005,P0098,1,4.68,Not as Described
R0007529,T0007529,25-06-2024,S002,P0080,1,4.94,Not as Described
R0007568,T0007568,08-10-2024,S024,P0119,2,12.06,Expired
R0007629,T0007629,01-01-2025,S006,P0128,1,1.84,Not as Described
R0007719,T0007719,22-07-2025,S002,P0007,1,2.45,Expired
R0007798,T0007798,01-08-2025,S019,P0154,1,56.12,Damaged
R0007833,T0007833,09-10-2025,S001,P0099,1,3.58,Changed Mind
R0007850,T0007850,13-05-2024,S003,P0030,2,19.7,Expired
R0007897,T0007897,23-08-2024,S011,P0008,2,16.74,Expired
R0007899,T0007899,22-11-2024,S017,P0088,2,7.53,Wrong Item
R0007919,T0007919,22-04-2025,S001,P0105,2,6.34,Wrong Item
R0007936,T0007936,23-04-2024,S029,P0056,1,3.6,Damaged
R0007983,T0007983,28-06-2025,S019,P0132,1,4.38,Not as Described
R0008017,T0008017,07-07-2025,S017,P0088,2,9.34,Wrong Item
R0008028,T0008028,25-10-2025,S017,P0104,2,2.22,Changed Mind
R0008066,T0008066,24-08-2024,S019,P0167,1,54.3,Changed Mind
R0008067,T0008067,12-07-2024,S013,P0016,1,3.81,Not as Described
R0008099,T0008099,18-05-2025,S027,P0040,1,3.29,Not as Described
R0008146,T0008146,20-12-2024,S016,P0158,1,15.39,Changed Mind
R0008160,T0008160,25-02-2025,S009,P0074,1,4.73,Damaged
R0008162,T0008162,15-10-2024,S022,P0072,1,6.88,Damaged
R0008280,T0008280,05-01-2025,S024,P0092,2,12.43,Not as Described
R0008358,T0008358,25-09-2024,S001,P0018,1,5.78,Wrong Item
R0008385,T0008385,09-05-2025,S015,P0040,1,3.29,Not as Described
R0008391,T0008391,28-05-2025,S030,P0082,1,5.62,Changed Mind
R0008394,T0008394,19-07-2025,S008,P0088,1,5.02,Wrong Item
R0008503,T0008503,29-08-2025,S014,P0079,2,13.24,Damaged
R0008526,T0008526,05-02-2025,S012,P0045,2,9.54,Changed Mind
R0008591,T0008591,25-04-2025,S025,P0169,1,41.83,Changed Mind
R0008615,T0008615,03-02-2025,S028,P0159,1,59.48,Wrong Item
R0008674,T0008674,23-05-2024,S012,P0073,1,4.11,Wrong Item
R0008675,T0008675,28-12-2024,S006,P0136,1,5.45,Wrong Item
R0008685,T0008685,21-01-2024,S012,P0043,1,2.42,Damaged
R0008698,T0008698,26-01-2025,S009,P0173,1,53.66,Wrong Item
R0008729,T0008729,25-11-2024,S017,P0178,1,39.9,Wrong Item
R0008744,T0008744,03-08-2024,S017,P0096,1,5.91,Not as Described
R0008759,T0008759,01-11-2024,S012,P0043,1,2.42,Expired
R0008761,T0008761,24-10-2025,S015,P0180,1,48.07,Damaged
R0008795,T0008795,12-08-2024,S006,P0044,2,14.38,Wrong Item
R0008796,T0008796,03-01-2025,S004,P0145,1,2.73,Expired
R0008806,T0008806,14-01-2024,S007,P0013,2,7.76,Expired
R0008824,T0008824,03-07-2025,S002,P0148,1,2.46,Wrong Item
R0008860,T0008860,16-09-2024,S010,P0093,2,15.8,Damaged
R0008869,T0008869,24-02-2025,S013,P0052,1,4.94,Changed Mind
R0008875,T0008875,26-10-2025,S021,P0098,1,4.68,Expired
R0008895,T0008895,04-09-2025,S027,P0059,1,5.72,Expired
R0008897,T0008897,06-08-2024,S004,P0157,1,29.4,Expired
R0008922,T0008922,19-05-2025,S011,P0108,2,10.5,Changed Mind
R0008951,T0008951,11-03-2025,S011,P0171,1,13.42,Damaged
R0009029,T0009029,22-02-2024,S002,P0003,1,7.23,Changed Mind
R0009065,T0009065,20-05-2024,S006,P0108,2,9.66,Changed Mind
R0009120,T0009120,01-01-2024,S015,P0052,1,6.25,Expired
R0009204,T0009204,30-10-2024,S001,P0017,1,9.37,Expired
R0009262,T0009262,09-05-2024,S024,P0157,1,29.4,Changed Mind
R0009303,T0009303,24-07-2025,S011,P0145,2,5.46,Expired
R0009422,T0009422,11-04-2025,S011,P0070,1,1.04,Not as Described
R0009483,T0009483,03-07-2025,S016,P0146,1,1.9,Damaged
R0009499,T0009499,28-05-2025,S008,P0075,1,5.49,Not as Described
R0009518,T0009518,09-07-2024,S005,P0159,1,59.48,Expired
R0009543,T0009543,22-09-2024,S013,P0061,2,3.54,Changed Mind
R0009548,T0009548,04-06-2024,S002,P0104,2,2.22,Expired
R0009556,T0009556,01-05-2024,S004,P0154,2,112.24,Not as Described
R0009565,T0009565,05-01-2025,S028,P0040,1,3.29,Not as Described
R0009598,T0009598,07-01-2024,S006,P0076,1,6.65,Damaged
R0009631,T0009631,06-05-2025,S027,P0156,2,46.48,Damaged
R0009718,T0009718,26-11-2024,S001,P0166,2,91.76,Not as Described
R0009720,T0009720,02-08-2025,S006,P0039,2,4.38,Damaged
R0009721,T0009721,05-09-2024,S018,P0149,2,11.18,Expired
R0009760,T0009760,22-03-2025,S019,P0007,2,4.9,Wrong Item
R0009821,T0009821,12-04-2024,S023,P0176,1,46.51,Not as Described
R0009868,T0009868,18-08-2024,S002,P0026,1,8.37,Not as Described
R0009874,T0009874,26-08-2024,S028,P0163,1,36.11,Not as Described
R0009942,T0009942,26-12-2024,S011,P0071,1,4.3,Wrong Item
R0009970,T0009970,06-01-2025,S022,P0139,1,2.6,Damaged
R0010096,T0010096,03-05-2024,S026,P0143,2,2,Changed Mind
R0010117,T0010117,06-01-2024,S030,P0106,2,7,Changed Mind
R0010118,T0010118,08-07-2024,S021,P0176,2,93.02,Not as Described
R0010123,T0010123,29-06-2025,S011,P0111,2,9.62,Expired
R0010172,T0010172,31-07-2024,S016,P0173,2,107.32,Changed Mind
R0010186,T0010186,15-07-2025,S002,P0130,1,4.61,Changed Mind
R0010195,T0010195,01-07-2025,S010,P0042,1,3.84,Damaged
R0010202,T0010202,30-06-2025,S001,P0143,2,2,Wrong Item
R0010259,T0010259,09-03-2024,S002,P0093,1,7.43,Damaged
R0010271,T0010271,04-06-2025,S008,P0058,1,6.24,Wrong Item
R0010274,T0010274,01-10-2024,S021,P0114,2,14.5,Not as Described
R0010281,T0010281,06-02-2025,S012,P0117,1,3.32,Damaged
R0010294,T0010294,24-12-2024,S028,P0180,1,48.07,Expired
R0010314,T0010314,11-04-2025,S001,P0166,1,45.88,Wrong Item
R0010405,T0010405,21-06-2025,S025,P0073,2,8.74,Expired
R0010416,T0010416,07-10-2025,S018,P0096,1,5.02,Expired
R0010473,T0010473,09-10-2025,S004,P0044,1,7.73,Changed Mind
R0010491,T0010491,07-01-2025,S011,P0087,2,5.98,Damaged
R0010592,T0010592,23-08-2024,S024,P0136,1,5.45,Not as Described
R0010626,T0010626,08-08-2025,S022,P0174,1,28.98,Damaged
R0010676,T0010676,06-11-2024,S011,P0114,1,7.25,Changed Mind
R0010765,T0010765,16-12-2024,S010,P0067,2,7.82,Wrong Item
R0010805,T0010805,28-02-2025,S030,P0057,1,7.25,Damaged
R0010818,T0010818,13-03-2024,S002,P0099,2,6.09,Expired
R0010828,T0010828,24-08-2025,S022,P0110,1,5.68,Changed Mind
R0010861,T0010861,06-11-2024,S012,P0158,1,15.39,Expired
R0010928,T0010928,04-05-2025,S012,P0046,2,3.48,Expired
R0010958,T0010958,23-03-2024,S029,P0073,1,4.37,Changed Mind
R0010975,T0010975,21-06-2025,S008,P0033,1,1.85,Damaged
R0011019,T0011019,09-09-2024,S012,P0128,2,3.68,Changed Mind
R0011029,T0011029,14-06-2024,S003,P0159,1,59.48,Changed Mind
R0011125,T0011125,31-10-2024,S011,P0075,1,6.38,Damaged
R0011128,T0011128,30-01-2025,S015,P0001,1,7.44,Changed Mind
R0011137,T0011137,09-06-2025,S016,P0036,2,6.6,Wrong Item
R0011168,T0011168,02-09-2025,S017,P0005,1,10.45,Damaged
R0011178,T0011178,06-09-2025,S012,P0095,2,7.48,Not as Described
R0011201,T0011201,31-03-2024,S028,P0041,1,2.26,Expired
R0011202,T0011202,24-07-2025,S015,P0134,1,4.11,Wrong Item
R0011239,T0011239,05-09-2024,S012,P0041,2,3.48,Expired
R0011245,T0011245,31-10-2024,S006,P0142,2,4.28,Expired
R0011348,T0011348,23-06-2025,S018,P0070,2,2.08,Changed Mind
R0011354,T0011354,18-01-2024,S020,P0031,1,4.37,Not as Described
R0011514,T0011514,01-04-2025,S001,P0019,1,6.76,Damaged
R0011523,T0011523,17-01-2024,S005,P0121,1,7.83,Changed Mind
R0011560,T0011560,05-12-2024,S004,P0142,1,1.84,Not as Described
R0011567,T0011567,28-05-2025,S029,P0155,2,53.88,Changed Mind
R0011606,T0011606,10-12-2024,S025,P0083,2,15.46,Wrong Item
R0011637,T0011637,25-10-2024,S018,P0008,1,7.28,Damaged
R0011671,T0011671,02-09-2024,S028,P0178,1,45.86,Changed Mind
R0011680,T0011680,26-05-2025,S021,P0119,1,4.88,Damaged
R0011747,T0011747,29-01-2024,S026,P0180,1,48.07,Expired
R0011787,T0011787,23-03-2024,S018,P0091,1,5.13,Expired
R0011877,T0011877,04-05-2025,S003,P0101,2,3.58,Expired
R0012024,T0012024,17-09-2025,S010,P0106,2,7,Not as Described
R0012064,T0012064,16-04-2025,S024,P0083,2,15.46,Not as Described
R0012095,T0012095,13-05-2025,S007,P0089,2,8.84,Expired
R0012157,T0012157,13-03-2025,S007,P0057,1,6.38,Wrong Item
R0012182,T0012182,04-03-2025,S016,P0081,2,11.2,Changed Mind
R0012188,T0012188,17-08-2024,S016,P0011,2,8.84,Not as Described
R0012236,T0012236,29-01-2025,S016,P0124,1,7.17,Changed Mind
R0012239,T0012239,28-09-2025,S004,P0053,2,3.9,Not as Described
R0012266,T0012266,28-02-2025,S002,P0147,1,4.98,Expired
R0012280,T0012280,08-12-2024,S006,P0090,1,5.69,Changed Mind
R0012309,T0012309,02-09-2025,S016,P0015,1,8.73,Changed Mind
R0012328,T0012328,31-08-2024,S021,P0082,1,6.85,Changed Mind
R0012362,T0012362,09-07-2025,S022,P0007,1,1.96,Changed Mind
R0012368,T0012368,09-07-2024,S006,P0098,1,4.68,Not as Described
R0012377,T0012377,10-07-2024,S015,P0173,1,53.66,Expired
R0012402,T0012402,15-11-2024,S024,P0031,2,8.13,Not as Described
R0012416,T0012416,26-09-2025,S030,P0001,2,14.88,Expired
R0012443,T0012443,29-08-2025,S009,P0084,1,7.16,Wrong Item
R0012486,T0012486,20-09-2025,S015,P0152,1,39.9,Not as Described
R0012496,T0012496,13-01-2024,S015,P0050,1,1.33,Not as Described
R0012520,T0012520,18-09-2025,S011,P0078,1,3.81,Changed Mind
R0012585,T0012585,28-07-2025,S005,P0117,1,4.48,Not as Described
R0012606,T0012606,15-09-2025,S017,P0099,1,2.9,Damaged
R0012715,T0012715,17-01-2024,S022,P0055,1,6.43,Damaged
R0012771,T0012771,22-03-2025,S019,P0136,1,4.52,Wrong Item
R0012780,T0012780,22-05-2024,S027,P0159,1,59.48,Changed Mind
