PromoID,ProductID,StoreID,StartDate,EndDate,PromoType,DiscountPct,Channel,StoreScope
PR0040,P0136,S020,04-08-2024,08-08-2024,Price Cut,0.23,In-Store,Single
PR0041,P0162,S025,30-05-2025,14-06-2025,Price Cut,0.26,Both,Single
PR0042,P0168,S022,10-03-2024,14-03-2024,Price Cut,0.12,In-Store,Single
PR0043,P0009,,17-08-2025,31-08-2025,Coupon,0.18,In-Store,All
PR0044,P0043,S029,10-02-2024,29-02-2024,Price Cut,0.2,In-Store,Single
PR0045,P0162,S027,15-01-2024,29-01-2024,Price Cut,0.14,In-Store,Single
PR0046,P0076,S023,30-04-2025,10-05-2025,Price Cut,0.02,In-Store,Single
PR0047,P0175,S008,08-02-2024,12-02-2024,Price Cut,0.21,In-Store,Single
PR0048,P0063,,05-04-2024,22-04-2024,Price Cut,0.25,In-Store,All
PR0049,P0152,,25-04-2024,13-05-2024,Price Cut,0.07,In-Store,All
PR0050,P0056,S007,10-03-2025,25-03-2025,Price Cut,0.1,Online,Single
PR0051,P0041,S007,23-09-2024,28-09-2024,Price Cut,0.11,In-Store,Single
PR0052,P0125,S019,30-06-2025,20-07-2025,Price Cut,0.13,In-Store,Single
PR0053,P0072,,31-05-2025,15-06-2025,Flash Sale,0.12,Online,All
PR0054,P0024,S006,16-03-2025,21-03-2025,BOGO,0.5,Both,Single
PR0055,P0014,,06-02-2025,14-02-2025,Price Cut,0.19,Both,All
PR0056,P0143,S022,16-05-2024,24-05-2024,Price Cut,0.11,In-Store,Single
PR0057,P0045,S005,27-06-2024,03-07-2024,Coupon,0.15,In-Store,Single
PR0058,P0020,,26-06-2024,11-07-2024,Flash Sale,0.02,Both,All
PR0059,P0044,,11-09-2025,22-09-2025,Price Cut,0.1,In-Store,All
PR0060,P0114,S018,12-05-2024,19-05-2024,Price Cut,0.19,Online,Single
PR0061,P0127,S010,14-01-2024,22-01-2024,Bundle,0.21,In-Store,Single
PR0062,P0096,,20-11-2024,02-12-2024,Coupon,0.09,Online,All
PR0063,P0130,S030,23-09-2025,01-10-2025,Coupon,0.11,Online,Single
PR0064,P0044,S017,19-11-2024,06-12-2024,Price Cut,0.21,Online,Single
PR0065,P0002,S023,13-05-2024,20-05-2024,Price Cut,0.12,In-Store,Single
PR0066,P0177,,09-07-2024,25-07-2024,Coupon,0.24,Both,All
PR0067,P0042,S024,06-07-2024,12-07-2024,Price Cut,0.12,In-Store,Single
PR0068,P0138,S009,15-02-2025,20-02-2025,Flash Sale,0.18,Both,Single
PR0069,P0023,S010,20-01-2025,09-02-2025,Price Cut,0.12,In-Store,Single
PR0070,P0140,,18-05-2025,27-05-2025,Price Cut,0.11,Online,All
PR0071,P0112,S029,22-11-2024,07-12-2024,Price Cut,0.33,Online,Single
PR0072,P0023,S004,06-01-2025,22-01-2025,Bundle,0.18,Online,Single
PR0073,P0126,S014,21-05-2024,02-06-2024,Price Cut,0.08,In-Store,Single
PR0074,P0127,S005,14-02-2024,28-02-2024,Price Cut,0.19,In-Store,Single
PR0075,P0029,,26-07-2024,07-08-2024,Price Cut,0.24,In-Store,All
PR0076,P0021,S015,06-05-2024,17-05-2024,BOGO,0.5,Both,Single
PR0077,P0002,S016,24-05-2025,12-06-2025,BOGO,0.5,Both,Single
PR0078,P0089,S001,09-07-2025,19-07-2025,Price Cut,0.12,In-Store,Single
PR0079,P0119,S029,21-08-2025,28-08-2025,BOGO,0.5,In-Store,Single
PR0080,P0053,,12-08-2025,23-08-2025,Price Cut,0.11,Both,All
PR0081,P0128,S016,11-08-2024,29-08-2024,Flash Sale,0.15,In-Store,Single
PR0082,P0137,S017,05-11-2024,09-11-2024,Price Cut,0.17,Both,Single
PR0083,P0098,S010,01-07-2025,12-07-2025,Coupon,0.04,In-Store,Single
PR0084,P0047,S028,11-01-2024,28-01-2024,Flash Sale,0.13,Online,Single
PR0085,P0096,S020,27-09-2024,30-09-2024,Bundle,0.24,In-Store,Single
PR0086,P0104,S005,08-06-2024,17-06-2024,Coupon,0.19,Both,Single
PR0087,P0145,,10-05-2025,14-05-2025,Price Cut,0.3,In-Store,All
PR0088,P0109,S030,22-03-2024,29-03-2024,Price Cut,0.15,In-Store,Single
PR0089,P0170,S002,10-05-2024,30-05-2024,Price Cut,0.25,Online,Single
PR0090,P0093,S010,07-03-2024,17-03-2024,Price Cut,0.09,Online,Single
PR0091,P0038,S014,09-12-2024,12-12-2024,Flash Sale,0.19,Both,Single
PR0092,P0122,S021,29-07-2024,03-08-2024,Price Cut,0.08,In-Store,Single
PR0093,P0008,,10-09-2024,16-09-2024,Price Cut,0.07,Online,All
PR0094,P0091,,14-02-2024,24-02-2024,Flash Sale,0.13,Online,All
PR0095,P0001,S009,11-06-2025,22-06-2025,Coupon,0.18,In-Store,Single
PR0096,P0046,,11-05-2025,31-05-2025,BOGO,0.5,In-Store,All
PR0097,P0113,S011,23-07-2025,30-07-2025,Bundle,0.18,In-Store,Single
PR0098,P0072,,22-01-2024,31-01-2024,Flash Sale,0.18,Both,All
PR0099,P0105,S026,19-06-2024,05-07-2024,Price Cut,0.19,Online,Single
PR0100,P0079,S017,30-09-2025,03-10-2025,Price Cut,0.25,Both,Single
PR0101,P0051,S015,18-05-2025,04-06-2025,Price Cut,0.09,In-Store,Single
PR0102,P0139,,12-09-2024,24-09-2024,Price Cut,0.26,In-Store,All
PR0103,P0113,S021,16-06-2025,24-06-2025,Price Cut,0.13,In-Store,Single
PR0104,P0004,S001,23-05-2025,28-05-2025,Price Cut,0.11,In-Store,Single
PR0105,P0096,,20-06-2025,05-07-2025,Coupon,0.13,Online,All
PR0106,P0100,,21-02-2025,09-03-2025,Bundle,0.02,Online,All
PR0107,P0035,S001,22-09-2025,09-10-2025,Coupon,0.14,Online,Single
PR0108,P0006,S004,16-12-2024,19-12-2024,Price Cut,0.18,Online,Single
PR0109,P0110,S002,28-08-2024,09-09-2024,Price Cut,0.18,Both,Single
PR0110,P0005,S020,11-01-2024,24-01-2024,Price Cut,0.1,Online,Single
PR0111,P0053,S024,13-04-2024,28-04-2024,Price Cut,0.25,In-Store,Single
PR0112,P0142,S014,18-04-2025,03-05-2025,Bundle,0.27,In-Store,Single
PR0113,P0156,S003,14-06-2025,26-06-2025,BOGO,0.5,Both,Single
PR0114,P0180,S028,10-09-2024,20-09-2024,Price Cut,0.1,In-Store,Single
PR0115,P0037,S029,18-03-2025,31-03-2025,Bundle,0.1,In-Store,Single
PR0116,P0005,S011,26-11-2024,30-11-2024,Price Cut,0.1,In-Store,Single
PR0117,P0055,S013,16-09-2024,19-09-2024,BOGO,0.5,In-Store,Single
PR0118,P0095,S004,31-07-2025,19-08-2025,Price Cut,0.21,In-Store,Single
PR0119,P0178,S001,25-02-2024,29-02-2024,BOGO,0.5,In-Store,Single
PR0120,P0068,S021,06-07-2024,23-07-2024,Price Cut,0.22,Online,Single
PR0121,P0075,S008,20-04-2024,25-04-2024,Bundle,0.05,In-Store,Single
PR0122,P0044,S014,10-04-2024,28-04-2024,Bundle,0.08,Online,Single
PR0123,P0123,S008,09-09-2024,21-09-2024,Bundle,0.13,In-Store,Single
PR0124,P0093,,12-04-2025,22-04-2025,BOGO,0.5,In-Store,All
PR0125,P0099,S027,31-05-2024,18-06-2024,Coupon,0.21,In-Store,Single
PR0126,P0056,S021,05-07-2024,20-07-2024,Flash Sale,0.02,Both,Single
PR0127,P0086,,16-09-2024,21-09-2024,Coupon,0.24,In-Store,All
PR0128,P0145,S006,30-07-2024,16-08-2024,BOGO,0.5,Both,Single
PR0129,P0166,,22-01-2024,31-01-2024,Price Cut,0.08,In-Store,All
PR0130,P0112,S028,12-03-2024,24-03-2024,Bundle,0.27,In-Store,Single
PR0131,P0144,,21-03-2024,29-03-2024,Price Cut,0.2,In-Store,All
PR0132,P0103,S003,20-08-2024,31-08-2024,BOGO,0.5,In-Store,Single
PR0133,P0027,,09-09-2025,22-09-2025,Price Cut,0.14,Both,All
PR0134,P0017,S005,16-08-2025,27-08-2025,BOGO,0.5,In-Store,Single
PR0135,P0133,S020,06-05-2024,21-05-2024,Price Cut,0.14,In-Store,Single
PR0136,P0107,S025,01-09-2025,11-09-2025,Coupon,0.11,In-Store,Single
PR0137,P0112,S027,15-08-2025,02-09-2025,Price Cut,0.13,Both,Single
PR0138,P0083,S025,18-09-2024,07-10-2024,Coupon,0.12,Both,Single
PR0139,P0001,S023,07-08-2024,23-08-2024,Price Cut,0.06,In-Store,Single
PR0140,P0151,S009,22-03-2025,07-04-2025,Bundle,0.14,In-Store,Single
PR0141,P0055,S007,06-04-2025,25-04-2025,BOGO,0.5,In-Store,Single
PR0142,P0114,S021,24-12-2024,05-01-2025,Price Cut,0.12,In-Store,Single
PR0143,P0061,S017,04-03-2024,22-03-2024,Price Cut,0.3,Online,Single
PR0144,P0169,S021,22-02-2024,05-03-2024,Coupon,0.08,In-Store,Single
PR0145,P0131,S015,06-09-2025,17-09-2025,Coupon,0.16,In-Store,Single
PR0146,P0033,S022,04-11-2024,11-11-2024,Coupon,0.14,In-Store,Single
PR0147,P0100,S024,29-09-2024,06-10-2024,Flash Sale,0.16,Online,Single
PR0148,P0052,S006,28-07-2024,13-08-2024,BOGO,0.5,Both,Single
PR0149,P0171,S020,12-08-2024,27-08-2024,Price Cut,0.09,In-Store,Single
PR0150,P0157,S025,07-06-2025,17-06-2025,Price Cut,0.3,In-Store,Single
PR0151,P0043,,13-02-2025,05-03-2025,Price Cut,0.04,In-Store,All
PR0152,P0067,,25-01-2025,28-01-2025,Price Cut,0.34,In-Store,All
PR0153,P0047,,13-01-2025,28-01-2025,BOGO,0.5,In-Store,All
PR0154,P0039,S009,09-09-2025,18-09-2025,Price Cut,0.02,In-Store,Single
PR0155,P0109,S018,09-06-2025,17-06-2025,Price Cut,0.18,In-Store,Single
PR0156,P0156,S024,13-03-2024,25-03-2024,Bundle,0.11,In-Store,Single
PR0157,P0139,,07-01-2024,22-01-2024,Price Cut,0.25,Online,All
PR0158,P0168,,14-08-2025,26-08-2025,Price Cut,0.1,Online,All
PR0159,P0123,S004,13-02-2024,04-03-2024,Price Cut,0.17,In-Store,Single
PR0160,P0145,S013,25-06-2025,14-07-2025,Flash Sale,0.19,In-Store,Single
PR0161,P0059,S009,26-07-2024,08-08-2024,Price Cut,0.11,In-Store,Single
PR0162,P0176,,11-09-2025,21-09-2025,Flash Sale,0.26,In-Store,All
PR0163,P0101,S009,24-06-2024,11-07-2024,Price Cut,0.18,Online,Single
PR0164,P0052,S005,10-02-2025,22-02-2025,Price Cut,0.04,Online,Single
PR0165,P0050,S030,18-08-2024,04-09-2024,BOGO,0.5,In-Store,Single
PR0166,P0090,S005,30-07-2024,12-08-2024,Bundle,0.12,In-Store,Single
PR0167,P0158,S007,21-09-2024,29-09-2024,Price Cut,0.28,In-Store,Single
PR0168,P0150,S017,09-07-2024,14-07-2024,Price Cut,0.22,Online,Single
PR0169,P0074,,02-01-2024,20-01-2024,Coupon,0.09,Online,All
PR0170,P0027,,22-12-2024,05-01-2025,Flash Sale,0.12,Both,All
PR0171,P0151,S028,16-11-2024,05-12-2024,Price Cut,0.07,Online,Single
PR0172,P0070,S005,29-01-2024,09-02-2024,Price Cut,0.13,In-Store,Single
PR0173,P0142,S023,30-09-2025,05-10-2025,BOGO,0.5,In-Store,Single
PR0174,P0162,,11-02-2024,25-02-2024,Coupon,0.13,In-Store,All
PR0175,P0014,S003,11-01-2025,28-01-2025,Price Cut,0.24,Both,Single
PR0176,P0025,S004,30-03-2024,11-04-2024,Bundle,0.12,In-Store,Single
PR0177,P0121,S009,10-02-2024,24-02-2024,Price Cut,0.24,Online,Single
PR0178,P0109,S002,30-08-2025,08-09-2025,Price Cut,0.17,In-Store,Single
PR0179,P0027,,02-04-2024,18-04-2024,Price Cut,0.15,Online,All
PR0180,P0103,,03-06-2024,11-06-2024,Price Cut,0.12,In-Store,All
PR0181,P0176,,27-02-2024,05-03-2024,Bundle,0.22,Online,All
PR0182,P0113,S005,12-08-2024,31-08-2024,Price Cut,0.14,In-Store,Single
PR0183,P0084,S011,24-03-2024,28-03-2024,Price Cut,0.05,Online,Single
PR0184,P0141,S022,10-05-2025,28-05-2025,BOGO,0.5,In-Store,Single
PR0185,P0083,,21-05-2024,31-05-2024,Price Cut,0.21,Both,All
PR0186,P0058,,15-09-2025,21-09-2025,BOGO,0.5,In-Store,All
PR0187,P0090,S011,17-11-2024,22-11-2024,Flash Sale,0.15,In-Store,Single
PR0188,P0030,S024,24-03-2025,27-03-2025,Bundle,0.23,Both,Single
PR0189,P0154,S025,09-04-2025,13-04-2025,Bundle,0.11,Online,Single
PR0190,P0132,S002,07-01-2024,22-01-2024,Price Cut,0.18,In-Store,Single
PR0191,P0155,S021,15-12-2024,20-12-2024,Flash Sale,0.16,Online,Single
PR0192,P0086,S019,25-09-2025,28-09-2025,Price Cut,0.23,In-Store,Single
PR0193,P0143,S006,17-01-2024,25-01-2024,Price Cut,0.09,In-Store,Single
PR0194,P0037,S027,23-02-2024,10-03-2024,Price Cut,0.13,In-Store,Single
PR0195,P0129,,29-10-2024,16-11-2024,Coupon,0.12,Online,All
PR0196,P0001,S005,27-03-2025,01-04-2025,Flash Sale,0.19,In-Store,Single
PR0197,P0048,S016,15-02-2025,03-03-2025,Price Cut,0.22,Both,Single
PR0198,P0168,S003,09-02-2024,17-02-2024,Price Cut,0.36,In-Store,Single
PR0199,P0055,,05-09-2024,20-09-2024,Coupon,0.1,In-Store,All
PR0200,P0166,S013,12-03-2025,20-03-2025,Price Cut,0.18,Online,Single
PR0201,P0176,,28-05-2024,16-06-2024,Price Cut,0.08,Online,All
PR0202,P0153,S028,10-07-2025,27-07-2025,Price Cut,0.09,In-Store,Single
PR0203,P0109,S010,04-07-2025,20-07-2025,Price Cut,0.21,In-Store,Single
PR0204,P0001,,10-05-2025,30-05-2025,Flash Sale,0.17,In-Store,All
PR0205,P0076,,03-10-2024,15-10-2024,Bundle,0.12,In-Store,All
PR0206,P0148,,07-04-2024,10-04-2024,Price Cut,0.02,In-Store,All
PR0207,P0135,S010,07-08-2025,27-08-2025,Price Cut,0.06,In-Store,Single
PR0208,P0140,,29-05-2024,08-06-2024,Price Cut,0.07,Online,All
PR0209,P0011,S027,29-10-2024,07-11-2024,Flash Sale,0.18,In-Store,Single
PR0210,P0098,S016,08-04-2024,16-04-2024,Coupon,0.17,Both,Single
PR0211,P0167,S001,20-09-2024,10-10-2024,Price Cut,0.18,In-Store,Single
PR0212,P0016,,05-02-2024,17-02-2024,Price Cut,0.14,In-Store,All
PR0213,P0130,S016,21-05-2024,04-06-2024,Price Cut,0.31,In-Store,Single
PR0214,P0027,,04-11-2024,20-11-2024,Price Cut,0.14,In-Store,All
PR0215,P0122,S024,13-02-2024,03-03-2024,Coupon,0.04,In-Store,Single
PR0216,P0156,,30-08-2025,18-09-2025,Coupon,0.13,In-Store,All
PR0217,P0044,,24-08-2024,02-09-2024,Flash Sale,0.3,In-Store,All
PR0218,P0075,,17-01-2025,06-02-2025,Price Cut,0.16,In-Store,All
PR0219,P0075,,09-08-2024,21-08-2024,Bundle,0.11,Both,All
PR0220,P0142,S030,18-12-2024,27-12-2024,Price Cut,0.13,In-Store,Single
PR0221,P0139,S021,21-07-2024,01-08-2024,Price Cut,0.26,In-Store,Single
PR0222,P0141,S023,09-05-2024,22-05-2024,Price Cut,0.11,In-Store,Single
PR0223,P0006,,28-04-2024,01-05-2024,Flash Sale,0.21,Both,All
PR0224,P0040,,21-07-2025,29-07-2025,Price Cut,0.26,Online,All
PR0225,P0029,S026,16-03-2025,22-03-2025,Flash Sale,0.12,Both,Single
PR0226,P0149,S030,19-09-2024,05-10-2024,Flash Sale,0.14,In-Store,Single
PR0227,P0016,,28-06-2025,12-07-2025,Price Cut,0.1,In-Store,All
PR0228,P0005,S025,18-08-2025,26-08-2025,Price Cut,0.08,In-Store,Single
PR0229,P0135,S005,15-09-2024,01-10-2024,Flash Sale,0.33,In-Store,Single
PR0230,P0088,S004,10-12-2024,30-12-2024,Price Cut,0.12,Online,Single
PR0231,P0134,,10-12-2024,20-12-2024,Coupon,0.29,In-Store,All
PR0232,P0124,S009,10-01-2024,15-01-2024,Price Cut,0.1,In-Store,Single
PR0233,P0107,S021,07-01-2025,22-01-2025,Coupon,0.21,Online,Single
PR0234,P0128,S022,21-03-2025,07-04-2025,Price Cut,0.17,In-Store,Single
PR0235,P0004,,12-10-2024,24-10-2024,Bundle,0.13,In-Store,All
PR0236,P0073,S013,16-04-2024,24-04-2024,Coupon,0.14,Both,Single
PR0237,P0067,S009,20-04-2024,05-05-2024,Price Cut,0.27,In-Store,Single
PR0238,P0014,,12-01-2025,22-01-2025,Price Cut,0.2,Online,All
PR0239,P0117,S024,15-03-2025,27-03-2025,BOGO,0.5,Both,Single
PR0240,P0070,S007,04-03-2024,16-03-2024,Price Cut,0.25,In-Store,Single
PR0241,P0177,S021,09-06-2024,29-06-2024,Price Cut,0.19,In-Store,Single
PR0242,P0145,S029,16-05-2024,31-05-2024,Price Cut,0.24,In-Store,Single
PR0243,P0155,S011,04-01-2025,22-01-2025,Price Cut,0.09,In-Store,Single
PR0244,P0142,S015,23-06-2024,02-07-2024,Price Cut,0.28,In-Store,Single
PR0245,P0145,S025,16-04-2024,01-05-2024,Price Cut,0.18,Online,Single
PR0246,P0054,S014,29-01-2024,06-02-2024,Price Cut,0.21,In-Store,Single
PR0247,P0094,S019,20-03-2025,27-03-2025,Price Cut,0.2,In-Store,Single
PR0248,P0015,S019,04-10-2024,14-10-2024,Price Cut,0.15,Online,Single
PR0249,P0051,,11-06-2024,20-06-2024,Price Cut,0.16,Both,All
PR0250,P0049,S003,27-09-2024,09-10-2024,Bundle,0.15,In-Store,Single
PR0251,P0078,,23-11-2024,28-11-2024,Price Cut,0.17,Online,All
PR0252,P0173,S004,03-12-2024,21-12-2024,Price Cut,0.11,In-Store,Single
PR0253,P0117,,28-02-2024,18-03-2024,Price Cut,0.11,In-Store,All
PR0254,P0116,S023,26-05-2024,07-06-2024,Flash Sale,0.12,Both,Single
PR0255,P0145,,30-01-2025,11-02-2025,Price Cut,0.17,In-Store,All
PR0256,P0146,S029,02-09-2024,16-09-2024,Coupon,0.21,In-Store,Single
PR0257,P0026,S025,02-01-2025,06-01-2025,Price Cut,0.14,Online,Single
PR0258,P0104,S011,06-11-2024,18-11-2024,BOGO,0.5,In-Store,Single
PR0259,P0117,S001,12-11-2024,23-11-2024,Price Cut,0.32,In-Store,Single
PR0260,P0098,S015,28-01-2025,05-02-2025,Price Cut,0.16,In-Store,Single
PR0261,P0158,S027,15-03-2025,19-03-2025,Price Cut,0.31,Both,Single
PR0262,P0035,S015,12-11-2024,16-11-2024,Price Cut,0.13,In-Store,Single
PR0263,P0062,S016,16-08-2025,31-08-2025,Price Cut,0.11,Online,Single
PR0264,P0032,,05-03-2025,16-03-2025,Bundle,0.07,In-Store,All
PR0265,P0069,S025,14-07-2025,26-07-2025,Price Cut,0.19,In-Store,Single
PR0266,P0102,S030,29-03-2025,18-04-2025,Flash Sale,0.08,Online,Single
PR0267,P0162,S002,23-07-2024,27-07-2024,BOGO,0.5,In-Store,Single
PR0268,P0135,S020,20-07-2024,05-08-2024,Flash Sale,0.02,In-Store,Single
PR0269,P0014,S024,19-03-2024,03-04-2024,Flash Sale,0.1,In-Store,Single
PR0270,P0126,S020,24-08-2024,27-08-2024,BOGO,0.5,Both,Single
PR0271,P0132,S002,08-01-2024,12-01-2024,Price Cut,0.16,In-Store,Single
PR0272,P0174,S006,17-06-2024,06-07-2024,Price Cut,0.15,Both,Single
PR0273,P0137,,20-06-2025,28-06-2025,Coupon,0.02,In-Store,All
PR0274,P0056,S016,15-09-2024,26-09-2024,Flash Sale,0.07,Both,Single
PR0275,P0009,S022,04-07-2025,16-07-2025,Price Cut,0.13,Online,Single
PR0276,P0041,,23-06-2025,08-07-2025,BOGO,0.5,In-Store,All
PR0277,P0086,S018,12-11-2024,23-11-2024,Price Cut,0.11,In-Store,Single
PR0278,P0118,S012,15-09-2025,26-09-2025,Price Cut,0.13,In-Store,Single
PR0279,P0022,S028,14-11-2024,17-11-2024,Bundle,0.12,Online,Single
PR0280,P0136,S030,03-04-2024,16-04-2024,Price Cut,0.19,Online,Single
PR0281,P0170,S011,18-10-2024,01-11-2024,Price Cut,0.19,In-Store,Single
PR0282,P0056,S014,27-08-2024,10-09-2024,Price Cut,0.23,Online,Single
PR0283,P0180,S007,16-02-2025,27-02-2025,Price Cut,0.03,Online,Single
PR0284,P0072,S027,30-12-2024,19-01-2025,Coupon,0.09,In-Store,Single
PR0285,P0010,,27-02-2025,07-03-2025,Price Cut,0.22,Both,All
PR0286,P0098,S019,09-10-2024,27-10-2024,Coupon,0.13,Online,Single
PR0287,P0117,S016,20-04-2025,28-04-2025,Price Cut,0.12,Both,Single
PR0288,P0174,,18-02-2024,05-03-2024,Flash Sale,0.09,Both,All
PR0289,P0003,S021,11-12-2024,16-12-2024,Price Cut,0.02,Online,Single
PR0290,P0133,S010,22-10-2024,06-11-2024,Price Cut,0.23,In-Store,Single
PR0291,P0143,,14-09-2025,30-09-2025,BOGO,0.5,In-Store,All
PR0292,P0100,S026,23-02-2024,10-03-2024,Price Cut,0.22,Online,Single
PR0293,P0018,S005,31-05-2024,04-06-2024,Price Cut,0.2,In-Store,Single
PR0294,P0081,S007,26-08-2025,01-09-2025,Coupon,0.09,Online,Single
PR0295,P0029,S025,14-11-2024,24-11-2024,Price Cut,0.33,In-Store,Single
PR0296,P0014,,02-01-2024,14-01-2024,Price Cut,0.29,In-Store,All
PR0297,P0070,,13-08-2024,21-08-2024,Price Cut,0.02,In-Store,All
PR0298,P0018,,04-01-2024,08-01-2024,Price Cut,0.2,In-Store,All
PR0299,P0162,S021,27-06-2025,03-07-2025,Flash Sale,0.11,In-Store,Single
PR0300,P0084,,02-11-2024,10-11-2024,Price Cut,0.02,In-Store,All
PR0301,P0151,S009,04-03-2024,17-03-2024,Price Cut,0.12,In-Store,Single
PR0302,P0092,S023,26-04-2025,29-04-2025,Bundle,0.02,In-Store,Single
PR0303,P0167,,04-10-2024,20-10-2024,Coupon,0.04,Online,All
PR0304,P0011,S020,11-05-2024,21-05-2024,Price Cut,0.17,In-Store,Single
PR0305,P0042,,22-04-2024,09-05-2024,Flash Sale,0.14,Online,All
PR0306,P0052,,13-08-2024,02-09-2024,Coupon,0.07,Both,All
PR0307,P0177,S009,02-11-2024,14-11-2024,Price Cut,0.04,In-Store,Single
PR0308,P0097,S013,21-12-2024,25-12-2024,Coupon,0.13,Online,Single
PR0309,P0122,,18-09-2025,26-09-2025,Price Cut,0.04,In-Store,All
PR0310,P0121,S010,13-03-2024,30-03-2024,Price Cut,0.22,Online,Single
PR0311,P0156,S002,09-09-2024,28-09-2024,Flash Sale,0.14,In-Store,Single
PR0312,P0155,,05-03-2025,22-03-2025,Flash Sale,0.23,Both,All
PR0313,P0153,S027,10-10-2024,22-10-2024,Price Cut,0.1,Both,Single
PR0314,P0122,,10-08-2025,27-08-2025,Price Cut,0.18,Both,All
PR0315,P0167,,15-03-2025,04-04-2025,Price Cut,0.04,In-Store,All
PR0316,P0088,,09-03-2024,13-03-2024,BOGO,0.5,In-Store,All
PR0317,P0043,S021,26-08-2024,04-09-2024,Bundle,0.22,Both,Single
PR0318,P0044,S029,27-09-2025,13-10-2025,Price Cut,0.15,Both,Single
PR0319,P0100,S002,31-05-2025,10-06-2025,Bundle,0.04,Both,Single
PR0320,P0155,,29-11-2024,15-12-2024,Coupon,0.02,In-Store,All
PR0321,P0174,S020,23-12-2024,26-12-2024,Price Cut,0.12,Online,Single
PR0322,P0137,,19-09-2024,04-10-2024,Flash Sale,0.26,In-Store,All
PR0323,P0061,S025,05-04-2025,16-04-2025,Coupon,0.16,Both,Single
PR0324,P0021,S012,24-07-2024,11-08-2024,Bundle,0.21,In-Store,Single
PR0325,P0035,,04-01-2024,24-01-2024,Price Cut,0.23,Both,All
PR0326,P0085,S027,06-09-2025,15-09-2025,BOGO,0.5,Online,Single
PR0327,P0102,S010,15-03-2024,26-03-2024,Price Cut,0.07,Online,Single
PR0328,P0064,S027,21-06-2025,25-06-2025,Bundle,0.21,In-Store,Single
PR0329,P0172,S009,30-06-2024,03-07-2024,Price Cut,0.18,In-Store,Single
PR0330,P0163,,26-04-2025,15-05-2025,Price Cut,0.23,Online,All
