TransactionID,TransactionDate,StoreID,ProductID,CustomerID,Channel,Quantity,UnitPrice,GrossSales,DiscountAmount,NetSales,COGS,GrossMargin,PaymentMethod
T0000089,07-02-2025,S027,P0090,C04976,Online,3,7.59,22.77,4.33,18.44,14.88,3.56,UPI
T0000090,03-06-2024,S003,P0006,,In-Store,2,5.43,10.86,0,10.86,7.88,2.98,Card
T0000091,06-10-2024,S029,P0030,C01451,In-Store,1,9.85,9.85,0,9.85,5.78,4.07,Card
T0000092,23-04-2025,S004,P0171,C04284,In-Store,1,17.89,17.89,0,17.89,10.04,7.85,Cash
T0000093,12-06-2025,S023,P0089,C02884,In-Store,1,4.42,4.42,0.66,3.76,3.48,0.28,Card
T0000094,25-01-2025,S017,P0163,C03717,In-Store,2,36.11,72.22,0,72.22,52.1,20.12,Card
T0000095,29-02-2024,S005,P0040,C00675,In-Store,1,3.29,3.29,0.79,2.5,2.54,-0.04,Wallet
T0000096,20-07-2024,S002,P0151,C02194,In-Store,2,55.81,111.62,0,111.62,84.32,27.3,Card
T0000097,21-06-2024,S024,P0013,C00343,In-Store,5,3.88,19.4,0,19.4,15.1,4.3,Card
T0000098,21-08-2025,S028,P0068,C02872,In-Store,3,6.08,18.24,0,18.24,10.35,7.89,Card
T0000099,10-07-2025,S017,P0068,C04595,In-Store,3,6.08,18.24,0,18.24,10.35,7.89,Card
T0000100,18-07-2025,S022,P0168,C01903,Online,1,44.06,44.06,11.02,33.04,32.87,0.17,Wallet
T0000101,07-04-2025,S019,P0158,C02055,Online,2,15.39,30.78,0,30.78,19.9,10.88,UPI
T0000102,26-03-2025,S016,P0121,C04459,Online,5,7.83,39.15,0,39.15,22.65,16.5,Card
T0000103,06-04-2024,S015,P0137,C02749,In-Store,2,2.09,4.18,0.67,3.51,2.98,0.53,Cash
T0000104,24-07-2025,S029,P0084,C03375,In-Store,1,7.16,7.16,0,7.16,4.76,2.4,Card
T0000105,29-07-2024,S011,P0128,C04458,In-Store,6,1.84,11.04,0,11.04,7.26,3.78,Card
T0000106,11-10-2025,S003,P0013,C01764,In-Store,5,3.88,19.4,0,19.4,15.1,4.3,UPI
T0000107,08-04-2025,S007,P0107,C03947,In-Store,4,1.29,5.16,0,5.16,3.8,1.36,UPI
T0000108,27-01-2024,S021,P0078,C03846,In-Store,2,4.53,9.06,0,9.06,5.06,4,Wallet
T0000109,20-12-2024,S015,P0024,C04959,In-Store,1,11.73,11.73,1.88,9.85,9.25,0.6,Card
T0000110,25-02-2024,S024,P0112,C03640,In-Store,1,6.77,6.77,0,6.77,3.94,2.83,UPI
T0000111,17-02-2024,S012,P0163,C03102,In-Store,1,36.11,36.11,5.78,30.33,26.05,4.28,Card
T0000112,27-09-2025,S003,P0048,C03488,In-Store,5,7.74,38.7,5.03,33.67,30.6,3.07,Cash
T0000113,14-06-2024,S009,P0055,C02357,In-Store,6,6.43,38.58,1.16,37.42,23.1,14.32,Card
T0000114,20-01-2025,S023,P0067,C02230,In-Store,2,3.91,7.82,1.33,6.49,6.2,0.29,Cash
T0000115,12-06-2025,S013,P0073,C04315,In-Store,3,4.37,13.11,0,13.11,9.78,3.33,UPI
T0000116,25-09-2024,S018,P0076,C01866,In-Store,2,6.65,13.3,0,13.3,8.92,4.38,UPI
T0000117,08-06-2025,S028,P0075,,In-Store,3,6.38,19.14,0,19.14,10.53,8.61,Cash
T0000118,18-09-2024,S010,P0032,C04683,In-Store,6,2.81,16.86,3.88,12.98,12.84,0.14,Card
T0000119,28-06-2025,S020,P0138,C01743,In-Store,3,1.34,4.02,0,4.02,2.94,1.08,Cash
T0000120,25-03-2025,S010,P0169,C04726,In-Store,2,41.83,83.66,0,83.66,47.5,36.16,Card
T0000121,30-12-2024,S004,P0163,C00462,In-Store,2,36.11,72.22,0,72.22,52.1,20.12,Cash
T0000122,12-03-2024,S023,P0003,C02372,Online,1,7.23,7.23,0,7.23,4.86,2.37,Cash
T0000123,09-01-2024,S001,P0146,C02277,In-Store,4,1.9,7.6,0,7.6,4.96,2.64,Card
T0000124,02-09-2024,S028,P0013,,In-Store,4,3.88,15.52,0.78,14.74,12.08,2.66,UPI
T0000125,28-01-2025,S001,P0119,C03216,In-Store,3,6.03,18.09,0,18.09,12.96,5.13,Cash
T0000126,17-03-2025,S028,P0165,C03240,Online,1,46.17,46.17,0,46.17,36.27,9.9,Card
T0000127,07-09-2025,S009,P0050,C02158,In-Store,3,1.33,3.99,0.48,3.51,2.58,0.93,Card
T0000128,07-05-2024,S027,P0141,C01857,In-Store,6,2.78,16.68,0,16.68,10.62,6.06,Cash
T0000129,15-04-2024,S023,P0099,,In-Store,3,3.58,10.74,0,10.74,7.17,3.57,Card
T0000130,09-04-2024,S012,P0029,C02101,In-Store,2,8.85,17.7,0,17.7,13.34,4.36,Card
T0000131,16-08-2024,S005,P0109,C04499,In-Store,2,3.82,7.64,0,7.64,4.84,2.8,Card
T0000132,28-08-2025,S021,P0049,C01092,Online,4,7.57,30.28,0,30.28,20.2,10.08,UPI
T0000133,15-09-2024,S010,P0033,C01889,In-Store,2,1.85,3.7,0.92,2.78,2.12,0.66,UPI
T0000134,25-08-2024,S014,P0038,C02206,In-Store,4,7.9,31.6,0,31.6,18.28,13.32,UPI
T0000135,16-09-2025,S017,P0091,C04683,Online,4,7.03,28.12,5.06,23.06,20.36,2.7,Card
T0000136,02-09-2024,S005,P0104,C04953,In-Store,3,1.11,3.33,0,3.33,2.55,0.78,UPI
T0000137,18-04-2024,S021,P0123,C03550,In-Store,3,7.57,22.71,0,22.71,12.9,9.81,Card
T0000138,08-06-2024,S014,P0101,,In-Store,1,1.79,1.79,0,1.79,1.25,0.54,Card
T0000139,04-07-2024,S023,P0057,C01905,In-Store,5,7.25,36.25,0,36.25,24.7,11.55,Cash
T0000140,25-07-2025,S026,P0082,C02614,In-Store,1,6.85,6.85,0,6.85,5.46,1.39,Card
T0000141,03-02-2025,S007,P0004,C00656,Online,5,11.84,59.2,0,59.2,41.8,17.4,Cash
T0000142,12-12-2024,S018,P0172,C00747,In-Store,1,38.48,38.48,0,38.48,23.24,15.24,Card
T0000143,29-01-2024,S018,P0009,C04210,In-Store,5,8.97,44.85,0,44.85,29.45,15.4,Card
T0000144,21-01-2025,S019,P0129,C02492,In-Store,5,4.05,20.25,0,20.25,15.15,5.1,Cash
T0000145,12-12-2024,S022,P0008,C02456,In-Store,1,8.37,8.37,0,8.37,6.69,1.68,Card
T0000146,07-05-2025,S013,P0096,C03825,In-Store,3,5.91,17.73,0,17.73,13.92,3.81,UPI
T0000147,01-04-2025,S011,P0007,C00433,In-Store,4,2.45,9.8,0,9.8,5.4,4.4,UPI
T0000148,23-08-2024,S015,P0117,,In-Store,2,4.48,8.96,0,8.96,5.54,3.42,Card
T0000149,10-09-2025,S024,P0103,,In-Store,2,7.75,15.5,0,15.5,10.4,5.1,Cash
T0000150,28-09-2024,S030,P0087,C03709,In-Store,3,3.6,10.8,2.27,8.53,6.54,1.99,Wallet
T0000151,21-08-2025,S002,P0030,C02649,In-Store,3,9.85,29.55,0,29.55,17.34,12.21,Cash
T0000152,19-02-2024,S004,P0012,,In-Store,3,4.43,13.29,0,13.29,7.68,5.61,UPI
T0000153,21-04-2025,S011,P0048,C04262,Online,6,7.74,46.44,5.57,40.87,36.72,4.15,Card
T0000154,21-05-2024,S013,P0144,C03268,In-Store,3,2.1,6.3,1.2,5.1,4.02,1.08,Card
T0000155,14-06-2025,S011,P0072,,In-Store,2,6.88,13.76,3.99,9.77,8.8,0.97,UPI
T0000156,18-11-2024,S003,P0175,C02375,Online,2,54.26,108.52,27.13,81.39,72.46,8.93,Cash
T0000157,26-07-2024,S020,P0080,C01250,In-Store,1,6.18,6.18,1.11,5.07,4.79,0.28,Card
T0000158,28-09-2025,S001,P0002,C00625,Online,2,10.57,21.14,0,21.14,11.8,9.34,Card
T0000159,03-03-2024,S004,P0054,C03273,In-Store,3,2.18,6.54,1.57,4.97,4.26,0.71,Card
T0000160,30-04-2024,S021,P0117,C01437,In-Store,2,4.48,8.96,0,8.96,5.54,3.42,Card
T0000161,09-10-2025,S023,P0057,C04537,In-Store,3,7.25,21.75,3.7,18.05,14.82,3.23,Cash
T0000162,26-02-2024,S010,P0071,C01884,In-Store,3,4.3,12.9,2.06,10.84,10.23,0.61,Card
T0000163,30-07-2025,S008,P0138,C02236,In-Store,6,1.34,8.04,0,8.04,5.88,2.16,Cash
T0000164,12-04-2025,S023,P0095,C04705,In-Store,4,3.74,14.96,0,14.96,8.8,6.16,Card
T0000165,01-01-2024,S021,P0049,,In-Store,2,7.57,15.14,3.94,11.2,10.1,1.1,Card
T0000166,12-08-2025,S030,P0001,C04021,In-Store,5,7.44,37.2,0,37.2,24.35,12.85,Cash
T0000167,23-08-2024,S021,P0121,C04467,In-Store,4,7.83,31.32,0,31.32,18.12,13.2,Card
T0000168,29-03-2025,S009,P0023,C04925,In-Store,4,4.88,19.52,3.12,16.4,14,2.4,Card
T0000169,17-01-2024,S014,P0098,C03071,In-Store,2,4.68,9.36,0,9.36,7.34,2.02,Cash
T0000170,28-07-2025,S018,P0145,C04338,In-Store,3,2.73,8.19,0,8.19,6.33,1.86,Card
T0000171,30-09-2025,S026,P0060,C02267,In-Store,2,4.91,9.82,0,9.82,5.5,4.32,Card
T0000172,07-10-2024,S003,P0076,C00027,In-Store,1,6.65,6.65,0,6.65,4.46,2.19,Card
T0000173,31-10-2025,S019,P0165,C00818,Online,2,46.17,92.34,10.16,82.18,72.54,9.64,Card
T0000174,06-07-2024,S019,P0108,C02044,In-Store,2,5.25,10.5,1.05,9.45,6.62,2.83,UPI
T0000175,15-05-2025,S030,P0076,C02949,Online,2,6.65,13.3,0,13.3,8.92,4.38,Card
T0000176,22-07-2024,S025,P0130,C00598,In-Store,6,4.61,27.66,0,27.66,21,6.66,UPI
T0000177,06-01-2024,S014,P0171,C01091,In-Store,2,17.89,35.78,0,35.78,20.08,15.7,UPI
T0000178,02-01-2025,S004,P0178,C03226,Online,1,45.86,45.86,5.04,40.82,32.2,8.62,Card
T0000179,06-06-2025,S019,P0137,C03385,In-Store,1,2.09,2.09,0,2.09,1.49,0.6,Card
T0000180,19-01-2025,S008,P0036,C01842,In-Store,5,3.3,16.5,0,16.5,9.2,7.3,UPI
T0000181,03-04-2025,S009,P0142,C04525,Online,3,2.14,6.42,0.9,5.52,4.41,1.11,Cash
T0000182,14-06-2025,S026,P0029,C00352,In-Store,1,8.85,8.85,0,8.85,6.67,2.18,Card
T0000183,11-01-2025,S013,P0159,C02414,In-Store,2,59.48,118.96,0,118.96,81.38,37.58,Wallet
T0000184,10-04-2024,S012,P0020,C01598,In-Store,2,4.76,9.52,0,9.52,6.44,3.08,Cash
T0000185,05-04-2024,S021,P0048,C04617,In-Store,1,7.74,7.74,1.08,6.66,6.12,0.54,UPI
T0000186,18-09-2025,S011,P0134,C02720,In-Store,6,5.14,30.84,0,30.84,21,9.84,UPI
T0000187,19-03-2025,S024,P0150,C02427,Online,2,3.73,7.46,0,7.46,4.38,3.08,Card
T0000188,14-03-2024,S029,P0160,C04372,Online,1,32.57,32.57,3.58,28.99,20.43,8.56,Card
T0000189,24-08-2024,S009,P0051,,In-Store,2,6.76,13.52,0,13.52,9.5,4.02,Cash
T0000190,08-10-2024,S022,P0162,,In-Store,1,42.91,42.91,0,42.91,25.85,17.06,Cash
T0000191,21-12-2024,S004,P0009,C03155,In-Store,1,8.97,8.97,0,8.97,5.89,3.08,Card
T0000192,30-05-2025,S016,P0091,,In-Store,2,7.03,14.06,0,14.06,10.18,3.88,Cash
T0000193,26-01-2025,S016,P0124,C03153,In-Store,2,7.17,14.34,0,14.34,8.36,5.98,UPI
T0000194,15-04-2024,S024,P0044,C00067,In-Store,2,7.73,15.46,3.86,11.6,10.56,1.04,Cash
T0000195,21-01-2025,S027,P0175,C03471,In-Store,1,54.26,54.26,0,54.26,36.23,18.03,Card
T0000196,07-09-2025,S016,P0010,C03424,In-Store,2,2.12,4.24,0,4.24,2.64,1.6,UPI
T0000197,12-07-2025,S018,P0032,C03607,In-Store,6,2.81,16.86,0,16.86,12.84,4.02,UPI
T0000198,03-09-2025,S020,P0144,C02372,In-Store,1,2.1,2.1,0.15,1.95,1.34,0.61,UPI
T0000199,02-02-2025,S015,P0165,,In-Store,2,46.17,92.34,16.62,75.72,72.54,3.18,Card
T0000200,28-05-2025,S023,P0095,C00704,In-Store,2,3.74,7.48,0,7.48,4.4,3.08,Card
T0000201,02-03-2025,S006,P0180,C02812,Online,1,48.07,48.07,5.77,42.3,27.46,14.84,Card
T0000202,21-09-2025,S027,P0119,C03676,Online,3,6.03,18.09,0,18.09,12.96,5.13,Cash
T0000203,12-05-2024,S009,P0054,C00679,In-Store,1,2.18,2.18,0,2.18,1.42,0.76,Card
T0000204,24-03-2025,S006,P0030,,In-Store,3,9.85,29.55,0,29.55,17.34,12.21,Card
T0000205,01-10-2024,S030,P0037,C01827,In-Store,3,5.08,15.24,0,15.24,10.77,4.47,Cash
T0000206,06-05-2024,S012,P0004,C01169,Online,1,11.84,11.84,1.78,10.06,8.36,1.7,Card
T0000207,10-12-2024,S016,P0052,C02045,In-Store,5,6.25,31.25,5.62,25.63,18.05,7.58,UPI
T0000208,26-03-2024,S030,P0128,C01013,In-Store,6,1.84,11.04,0,11.04,7.26,3.78,Card
T0000209,20-09-2024,S011,P0079,,In-Store,2,6.62,13.24,0,13.24,10.42,2.82,UPI
T0000210,09-03-2025,S001,P0108,C04852,In-Store,3,5.25,15.75,0,15.75,9.93,5.82,UPI
T0000211,23-08-2025,S014,P0138,C00204,In-Store,3,1.34,4.02,0.92,3.1,2.94,0.16,Cash
T0000212,21-02-2024,S011,P0047,,In-Store,5,1.33,6.65,0,6.65,5.25,1.4,Wallet
T0000213,22-02-2025,S022,P0016,C04843,Online,2,3.81,7.62,1.14,6.48,5.18,1.3,Cash
T0000214,20-02-2024,S018,P0024,C00222,Online,1,11.73,11.73,0,11.73,9.25,2.48,UPI
T0000215,01-12-2024,S011,P0068,C03073,In-Store,2,6.08,12.16,0,12.16,6.9,5.26,Card
T0000216,16-05-2025,S013,P0160,C02596,In-Store,1,32.57,32.57,0,32.57,20.43,12.14,Cash
T0000217,22-05-2024,S025,P0073,C01512,In-Store,3,4.37,13.11,0,13.11,9.78,3.33,UPI
T0000218,24-03-2025,S003,P0030,C04045,In-Store,4,9.85,39.4,0,39.4,23.12,16.28,Card
T0000219,17-12-2024,S008,P0170,C01855,In-Store,1,13.34,13.34,0,13.34,7.9,5.44,UPI
T0000220,13-10-2025,S022,P0046,C01222,In-Store,4,1.74,6.96,0.35,6.61,4.08,2.53,Card
T0000221,21-02-2025,S014,P0101,C01607,In-Store,4,1.79,7.16,0,7.16,5,2.16,UPI
T0000222,05-02-2025,S025,P0137,C04254,Online,2,2.09,4.18,0,4.18,2.98,1.2,UPI
T0000223,11-06-2024,S017,P0163,C04329,Online,1,36.11,36.11,0,36.11,26.05,10.06,Card
T0000224,11-06-2024,S002,P0021,,In-Store,3,2.02,6.06,0,6.06,3.6,2.46,Card
T0000225,07-06-2024,S010,P0023,C00266,Online,1,4.88,4.88,0,4.88,3.5,1.38,Cash
T0000226,01-12-2024,S022,P0066,C01051,In-Store,1,7.75,7.75,1.09,6.66,4.76,1.9,Cash
T0000227,11-11-2024,S021,P0078,C00925,In-Store,1,4.53,4.53,0.77,3.76,2.53,1.23,UPI
T0000228,27-08-2024,S025,P0023,C03229,Online,1,4.88,4.88,0,4.88,3.5,1.38,Cash
T0000229,10-01-2025,S007,P0096,C03434,In-Store,4,5.91,23.64,0,23.64,18.56,5.08,Cash
T0000230,21-01-2024,S007,P0071,C00739,In-Store,2,4.3,8.6,0,8.6,6.82,1.78,UPI
T0000231,01-10-2025,S010,P0022,C03709,In-Store,3,7.12,21.36,0,21.36,13.05,8.31,Card
T0000232,09-09-2025,S006,P0163,C03805,In-Store,1,36.11,36.11,0,36.11,26.05,10.06,Cash
T0000233,07-01-2024,S010,P0006,C02802,In-Store,1,5.43,5.43,0,5.43,3.94,1.49,Cash
T0000234,22-04-2024,S015,P0109,,In-Store,2,3.82,7.64,0,7.64,4.84,2.8,Card
T0000235,26-12-2024,S025,P0129,C01166,In-Store,5,4.05,20.25,0,20.25,15.15,5.1,Card
T0000236,26-08-2025,S023,P0060,C04927,In-Store,3,4.91,14.73,0,14.73,8.25,6.48,Wallet
T0000237,26-01-2025,S027,P0107,C01291,Online,4,1.29,5.16,0,5.16,3.8,1.36,Card
T0000238,03-11-2024,S004,P0085,C01616,In-Store,3,5.24,15.72,0,15.72,10.02,5.7,Card
T0000239,20-08-2024,S026,P0166,C04980,In-Store,1,45.88,45.88,0,45.88,34.36,11.52,UPI
T0000240,29-08-2024,S023,P0114,C00957,Online,3,7.25,21.75,4.13,17.62,12.36,5.26,UPI
T0000241,30-01-2025,S024,P0073,C01376,In-Store,3,4.37,13.11,0,13.11,9.78,3.33,Card
T0000242,27-10-2025,S009,P0102,C02999,Online,4,3.56,14.24,0,14.24,8.24,6,Card
T0000243,17-10-2024,S001,P0149,,In-Store,5,5.59,27.95,0,27.95,20.8,7.15,UPI
T0000244,27-05-2025,S026,P0089,C04233,In-Store,2,4.42,8.84,0,8.84,6.96,1.88,UPI
T0000245,13-09-2024,S010,P0039,,In-Store,4,2.19,8.76,0,8.76,5.6,3.16,Card
T0000246,04-01-2025,S012,P0001,C00677,In-Store,5,7.44,37.2,0,37.2,24.35,12.85,Cash
T0000247,27-05-2025,S025,P0099,C04763,In-Store,1,3.58,3.58,0,3.58,2.39,1.19,UPI
T0000248,07-12-2024,S030,P0063,C02619,In-Store,3,4.59,13.77,0,13.77,10.29,3.48,UPI
T0000249,15-08-2025,S014,P0101,C04607,Online,1,1.79,1.79,0.04,1.75,1.25,0.5,Card
T0000250,31-03-2025,S001,P0020,C02853,In-Store,3,4.76,14.28,0,14.28,9.66,4.62,Card
