SnapshotDate,StoreID,ProductID,StockOnHand,ReorderPoint
01-01-2024,S029,P0023,176,38
01-01-2024,S029,P0030,392,71
01-01-2024,S029,P0037,291,77
01-01-2024,S029,P0125,57,95
01-01-2024,S029,P0179,138,40
01-01-2024,S029,P0069,432,75
01-01-2024,S029,P0127,133,127
01-01-2024,S029,P0072,16,146
01-01-2024,S029,P0093,214,54
01-01-2024,S029,P0078,321,124
01-01-2024,S029,P0016,468,90
01-01-2024,S029,P0150,210,95
01-01-2024,S029,P0178,393,26
01-01-2024,S029,P0043,461,26
01-01-2024,S029,P0080,393,123
01-01-2024,S029,P0169,227,100
01-01-2024,S028,P0157,42,83
01-01-2024,S028,P0115,145,25
01-01-2024,S028,P0164,301,123
01-01-2024,S028,P0084,88,98
01-01-2024,S028,P0087,373,41
01-01-2024,S028,P0129,445,106
01-01-2024,S028,P0161,238,47
01-01-2024,S028,P0031,420,80
01-01-2024,S028,P0145,479,76
01-01-2024,S028,P0112,326,95
01-01-2024,S028,P0035,367,30
01-01-2024,S028,P0040,397,97
01-01-2024,S028,P0018,28,121
01-01-2024,S028,P0106,364,89
01-01-2024,S028,P0006,471,33
01-01-2024,S028,P0107,429,43
01-01-2024,S028,P0083,82,88
01-01-2024,S028,P0052,495,135
01-01-2024,S028,P0162,10,115
01-01-2024,S028,P0003,494,44
01-01-2024,S028,P0110,364,41
01-01-2024,S028,P0091,476,123
01-01-2024,S028,P0059,171,140
01-01-2024,S028,P0024,135,107
01-01-2024,S028,P0019,189,149
01-01-2024,S028,P0131,201,148
01-01-2024,S028,P0098,225,66
01-01-2024,S028,P0128,108,106
01-01-2024,S028,P0092,273,102
01-01-2024,S028,P0005,438,106
01-01-2024,S028,P0033,195,109
01-01-2024,S028,P0138,48,77
01-01-2024,S028,P0109,55,50
01-01-2024,S028,P0176,155,77
01-01-2024,S028,P0168,234,91
01-01-2024,S028,P0013,310,21
01-01-2024,S028,P0014,304,63
01-01-2024,S028,P0081,432,111
01-01-2024,S028,P0174,35,20
01-01-2024,S028,P0002,390,110
01-01-2024,S028,P0077,366,116
01-01-2024,S028,P0021,142,28
01-01-2024,S028,P0036,429,123
01-01-2024,S028,P0141,457,58
01-01-2024,S028,P0088,310,71
01-01-2024,S028,P0153,309,36
01-01-2024,S028,P0045,364,79
01-01-2024,S028,P0130,162,88
01-01-2024,S028,P0025,150,71
01-01-2024,S028,P0039,150,58
01-01-2024,S028,P0159,404,22
01-01-2024,S028,P0015,144,117
01-01-2024,S028,P0075,43,131
01-01-2024,S028,P0122,327,136
01-01-2024,S028,P0120,180,127
01-01-2024,S028,P0060,486,144
01-01-2024,S028,P0171,490,97
01-01-2024,S028,P0175,464,42
01-01-2024,S028,P0022,410,120
01-01-2024,S028,P0067,236,75
01-01-2024,S028,P0156,324,135
01-01-2024,S028,P0103,200,76
01-01-2024,S028,P0054,277,48
01-01-2024,S028,P0047,163,33
01-01-2024,S028,P0167,285,32
01-01-2024,S028,P0090,119,75
01-01-2024,S028,P0102,90,89
01-01-2024,S028,P0057,130,89
01-01-2024,S028,P0062,413,80
01-01-2024,S028,P0154,489,128
01-01-2024,S028,P0076,63,44
01-01-2024,S028,P0056,356,146
01-01-2024,S028,P0095,221,124
01-01-2024,S028,P0028,88,59
01-01-2024,S028,P0152,334,65
01-01-2024,S028,P0137,406,55
01-01-2024,S028,P0139,1,97
01-01-2024,S028,P0166,396,114
01-01-2024,S028,P0026,459,32
01-01-2024,S028,P0029,286,61
01-01-2024,S028,P0034,376,105
01-01-2024,S028,P0101,257,88
01-01-2024,S028,P0020,27,58
01-01-2024,S028,P0017,298,64
01-01-2024,S028,P0123,166,129
01-01-2024,S028,P0136,98,48
01-01-2024,S028,P0044,187,59
01-01-2024,S028,P0011,442,100
01-01-2024,S028,P0094,426,61
01-01-2024,S028,P0143,106,111
01-01-2024,S028,P0032,337,49
01-01-2024,S028,P0071,478,60
01-01-2024,S028,P0113,350,133
01-01-2024,S028,P0061,124,87
01-01-2024,S028,P0042,346,120
01-01-2024,S028,P0063,437,122
01-01-2024,S028,P0117,390,121
01-01-2024,S028,P0051,253,49
01-01-2024,S028,P0086,226,82
01-01-2024,S028,P0146,201,34
01-01-2024,S028,P0134,96,143
01-01-2024,S028,P0012,94,21
01-01-2024,S028,P0148,213,46
01-01-2024,S028,P0105,324,132
01-01-2024,S028,P0096,483,98
01-01-2024,S028,P0116,425,145
01-01-2024,S028,P0133,426,97
01-01-2024,S028,P0079,9,94
01-01-2024,S028,P0135,473,118
01-01-2024,S028,P0041,304,97
01-01-2024,S028,P0180,69,27
01-01-2024,S028,P0121,166,116
01-01-2024,S028,P0007,377,104
01-01-2024,S028,P0119,430,33
01-01-2024,S028,P0082,176,78
01-01-2024,S028,P0068,442,87
01-01-2024,S028,P0124,125,74
01-01-2024,S028,P0142,89,26
01-01-2024,S028,P0170,163,94
01-01-2024,S028,P0140,338,138
01-01-2024,S028,P0108,392,132
01-01-2024,S028,P0147,297,32
01-01-2024,S028,P0160,367,73
01-01-2024,S028,P0074,68,114
01-01-2024,S028,P0064,73,22
01-01-2024,S028,P0118,25,24
01-01-2024,S028,P0004,153,135
01-01-2024,S028,P0155,469,93
01-01-2024,S028,P0104,152,109
01-01-2024,S028,P0050,484,80
01-01-2024,S028,P0089,373,52
01-01-2024,S028,P0008,122,91
01-01-2024,S028,P0114,69,136
01-01-2024,S028,P0097,465,128
01-01-2024,S028,P0023,71,137
01-01-2024,S028,P0030,415,78
01-01-2024,S028,P0037,412,57
01-01-2024,S028,P0125,287,71
01-01-2024,S028,P0179,126,20
01-01-2024,S028,P0069,389,139
01-01-2024,S028,P0127,334,63
01-01-2024,S028,P0072,405,30
01-01-2024,S028,P0093,278,135
01-01-2024,S028,P0078,106,140
01-01-2024,S028,P0016,446,123
01-01-2024,S028,P0150,398,77
01-01-2024,S028,P0178,81,82
01-01-2024,S028,P0043,401,128
01-01-2024,S028,P0080,76,113
01-01-2024,S028,P0169,107,149
01-01-2024,S020,P0157,258,42
01-01-2024,S020,P0115,471,94
01-01-2024,S020,P0164,357,74
01-01-2024,S020,P0084,316,89
01-01-2024,S020,P0087,280,93
01-01-2024,S020,P0129,220,77
01-01-2024,S020,P0161,256,116
01-01-2024,S020,P0031,387,144
01-01-2024,S020,P0145,319,91
01-01-2024,S020,P0112,78,120
01-01-2024,S020,P0035,418,21
01-01-2024,S020,P0040,47,70
01-01-2024,S020,P0018,476,140
01-01-2024,S020,P0106,453,100
01-01-2024,S020,P0006,34,83
01-01-2024,S020,P0107,410,125
01-01-2024,S020,P0083,300,28
01-01-2024,S020,P0052,363,122
01-01-2024,S020,P0162,405,89
01-01-2024,S020,P0003,233,68
01-01-2024,S020,P0110,388,124
01-01-2024,S020,P0091,358,53
01-01-2024,S020,P0059,431,148
01-01-2024,S020,P0024,459,67
01-01-2024,S020,P0019,384,114
01-01-2024,S020,P0131,5,126
01-01-2024,S020,P0098,369,58
01-01-2024,S020,P0128,175,91
01-01-2024,S020,P0092,151,95
01-01-2024,S020,P0005,266,107
01-01-2024,S020,P0033,159,61
01-01-2024,S020,P0138,271,101
01-01-2024,S020,P0109,233,121
01-01-2024,S020,P0176,416,101
01-01-2024,S020,P0168,255,71
01-01-2024,S020,P0013,488,97
01-01-2024,S020,P0014,165,149
01-01-2024,S020,P0081,115,51
01-01-2024,S020,P0174,235,83
01-01-2024,S020,P0002,104,60
01-01-2024,S020,P0077,248,36
01-01-2024,S020,P0021,139,96
01-01-2024,S020,P0036,495,107
01-01-2024,S020,P0141,75,76
01-01-2024,S020,P0088,308,104
01-01-2024,S020,P0153,237,35
01-01-2024,S020,P0045,340,138
01-01-2024,S020,P0130,366,111
01-01-2024,S020,P0025,222,111
01-01-2024,S020,P0039,397,104
01-01-2024,S020,P0159,282,44
01-01-2024,S020,P0015,176,69
01-01-2024,S020,P0075,356,90
01-01-2024,S020,P0122,477,86
01-01-2024,S020,P0120,402,148
01-01-2024,S020,P0060,125,65
01-01-2024,S020,P0171,363,94
01-01-2024,S020,P0175,103,140
01-01-2024,S020,P0022,293,21
01-01-2024,S020,P0067,159,75
01-01-2024,S020,P0156,144,76
01-01-2024,S020,P0103,381,36
01-01-2024,S020,P0054,225,75
01-01-2024,S020,P0047,38,138
01-01-2024,S020,P0167,436,39
01-01-2024,S020,P0090,478,134
01-01-2024,S020,P0102,247,76
01-01-2024,S020,P0057,243,83
01-01-2024,S020,P0062,297,136
01-01-2024,S020,P0154,214,43
01-01-2024,S020,P0076,245,118
01-01-2024,S020,P0056,400,51
01-01-2024,S020,P0095,429,97
01-01-2024,S020,P0028,16,140
01-01-2024,S020,P0152,47,22
01-01-2024,S020,P0137,187,81
01-01-2024,S020,P0139,153,30
01-01-2024,S020,P0166,326,129
01-01-2024,S020,P0026,290,141
01-01-2024,S020,P0029,433,135
01-01-2024,S020,P0034,352,28
01-01-2024,S020,P0101,125,64
01-01-2024,S020,P0020,463,121
01-01-2024,S020,P0017,432,73
01-01-2024,S020,P0123,35,52
01-01-2024,S020,P0136,29,140
01-01-2024,S020,P0044,160,130
01-01-2024,S020,P0011,469,67
01-01-2024,S020,P0094,223,29
01-01-2024,S020,P0143,132,24
01-01-2024,S020,P0032,221,80
01-01-2024,S020,P0071,297,67
01-01-2024,S020,P0113,444,63
01-01-2024,S020,P0061,36,70
01-01-2024,S020,P0042,85,127
01-01-2024,S020,P0063,301,28
01-01-2024,S020,P0117,267,99
01-01-2024,S020,P0051,113,101
01-01-2024,S020,P0086,317,134
01-01-2024,S020,P0146,119,85
01-01-2024,S020,P0134,209,43
01-01-2024,S020,P0012,106,22
01-01-2024,S020,P0148,112,35
01-01-2024,S020,P0105,126,21
01-01-2024,S020,P0096,397,132
01-01-2024,S020,P0116,99,79
01-01-2024,S020,P0133,100,82
01-01-2024,S020,P0079,448,46
01-01-2024,S020,P0135,171,27
01-01-2024,S020,P0041,134,46
01-01-2024,S020,P0180,76,34
01-01-2024,S020,P0121,377,143
01-01-2024,S020,P0007,67,49
01-01-2024,S020,P0119,308,71
01-01-2024,S020,P0082,477,23
01-01-2024,S020,P0068,319,61
01-01-2024,S020,P0124,148,118
01-01-2024,S020,P0142,415,26
01-01-2024,S020,P0170,116,94
01-01-2024,S020,P0140,444,144
01-01-2024,S020,P0108,100,84
01-01-2024,S020,P0147,222,143
01-01-2024,S020,P0160,221,91
01-01-2024,S020,P0074,210,54
01-01-2024,S020,P0064,153,94
01-01-2024,S020,P0118,171,112
01-01-2024,S020,P0004,109,119
01-01-2024,S020,P0155,290,148
01-01-2024,S020,P0104,360,107
01-01-2024,S020,P0050,264,77
01-01-2024,S020,P0089,270,112
01-01-2024,S020,P0008,109,77
01-01-2024,S020,P0114,164,74
01-01-2024,S020,P0097,79,130
01-01-2024,S020,P0023,389,111
01-01-2024,S020,P0030,273,56
01-01-2024,S020,P0037,452,99
01-01-2024,S020,P0125,159,76
01-01-2024,S020,P0179,376,64
01-01-2024,S020,P0069,87,86
01-01-2024,S020,P0127,178,127
01-01-2024,S020,P0072,104,25
01-01-2024,S020,P0093,289,106
01-01-2024,S020,P0078,49,69
01-01-2024,S020,P0016,482,29
01-01-2024,S020,P0150,79,122
01-01-2024,S020,P0178,163,123
01-01-2024,S020,P0043,361,39
01-01-2024,S020,P0080,491,111
01-01-2024,S020,P0169,29,79
01-01-2024,S026,P0157,30,126
01-01-2024,S026,P0115,316,22
01-01-2024,S026,P0164,135,38
01-01-2024,S026,P0084,86,104
01-01-2024,S026,P0087,162,91
01-01-2024,S026,P0129,267,107
01-01-2024,S026,P0161,482,90
01-01-2024,S026,P0031,73,67
01-01-2024,S026,P0145,371,88
01-01-2024,S026,P0112,339,33
01-01-2024,S026,P0035,214,37
01-01-2024,S026,P0040,277,123
01-01-2024,S026,P0018,250,69
01-01-2024,S026,P0106,80,115
01-01-2024,S026,P0006,140,35
01-01-2024,S026,P0107,324,79
01-01-2024,S026,P0083,215,36
01-01-2024,S026,P0052,2,48
01-01-2024,S026,P0162,439,60
01-01-2024,S026,P0003,209,108
01-01-2024,S026,P0110,340,52
01-01-2024,S026,P0091,349,46
01-01-2024,S026,P0059,351,80
01-01-2024,S026,P0024,404,72
01-01-2024,S026,P0019,364,83
01-01-2024,S026,P0131,307,24
01-01-2024,S026,P0098,262,32
01-01-2024,S026,P0128,440,37
01-01-2024,S026,P0092,235,146
01-01-2024,S026,P0005,113,127
01-01-2024,S026,P0033,15,60
01-01-2024,S026,P0138,308,120
01-01-2024,S026,P0109,440,23
01-01-2024,S026,P0176,180,41
01-01-2024,S026,P0168,239,52
01-01-2024,S026,P0013,193,81
01-01-2024,S026,P0014,110,129
01-01-2024,S026,P0081,49,28
01-01-2024,S026,P0174,441,146
01-01-2024,S026,P0002,435,136
01-01-2024,S026,P0077,423,102
01-01-2024,S026,P0021,474,86
01-01-2024,S026,P0036,422,77
01-01-2024,S026,P0141,404,135
01-01-2024,S026,P0088,245,144
01-01-2024,S026,P0153,147,123
01-01-2024,S026,P0045,184,139
01-01-2024,S026,P0130,468,147
01-01-2024,S026,P0025,22,21
01-01-2024,S026,P0039,75,124
01-01-2024,S026,P0159,2,55
01-01-2024,S026,P0015,259,36
01-01-2024,S026,P0075,457,144
01-01-2024,S026,P0122,358,106
01-01-2024,S026,P0120,320,26
01-01-2024,S026,P0060,163,122
01-01-2024,S026,P0171,266,135
01-01-2024,S026,P0175,124,142
01-01-2024,S026,P0022,17,40
01-01-2024,S026,P0067,69,141
01-01-2024,S026,P0156,53,96
01-01-2024,S026,P0103,185,107
01-01-2024,S026,P0054,469,137
01-01-2024,S026,P0047,155,45
01-01-2024,S026,P0167,232,53
01-01-2024,S026,P0090,165,92
01-01-2024,S026,P0102,13,42
01-01-2024,S026,P0057,318,88
01-01-2024,S026,P0062,56,97
01-01-2024,S026,P0154,494,91
01-01-2024,S026,P0076,9,147
01-01-2024,S026,P0056,10,96
01-01-2024,S026,P0095,234,44
01-01-2024,S026,P0028,94,82
01-01-2024,S026,P0152,308,76
01-01-2024,S026,P0137,485,21
01-01-2024,S026,P0139,194,84
01-01-2024,S026,P0166,80,47
01-01-2024,S026,P0026,255,129
01-01-2024,S026,P0029,245,126
01-01-2024,S026,P0034,261,133
01-01-2024,S026,P0101,132,59
01-01-2024,S026,P0020,239,91
01-01-2024,S026,P0017,315,68
01-01-2024,S026,P0123,238,78
01-01-2024,S026,P0136,98,116
01-01-2024,S026,P0044,56,45
01-01-2024,S026,P0011,180,55
01-01-2024,S026,P0094,390,57
01-01-2024,S026,P0143,75,129
01-01-2024,S026,P0032,267,43
01-01-2024,S026,P0071,309,109
01-01-2024,S026,P0113,496,75
01-01-2024,S026,P0061,313,28
01-01-2024,S026,P0042,470,23
01-01-2024,S026,P0063,59,75
01-01-2024,S026,P0117,368,147
01-01-2024,S026,P0051,154,109
01-01-2024,S026,P0086,187,80
01-01-2024,S026,P0146,499,81
01-01-2024,S026,P0134,170,77
01-01-2024,S026,P0012,65,63
01-01-2024,S026,P0148,401,89
01-01-2024,S026,P0105,289,76
01-01-2024,S026,P0096,277,26
01-01-2024,S026,P0116,287,130
01-01-2024,S026,P0133,363,23
01-01-2024,S026,P0079,475,62
01-01-2024,S026,P0135,314,127
01-01-2024,S026,P0041,344,75
01-01-2024,S026,P0180,244,21
01-01-2024,S026,P0121,431,77
01-01-2024,S026,P0007,28,130
01-01-2024,S026,P0119,414,65
01-01-2024,S026,P0082,388,39
01-01-2024,S026,P0068,179,50
01-01-2024,S026,P0124,316,46
01-01-2024,S026,P0142,225,29
01-01-2024,S026,P0170,436,111
01-01-2024,S026,P0140,296,33
01-01-2024,S026,P0108,240,33
01-01-2024,S026,P0147,241,50
01-01-2024,S026,P0160,371,58
01-01-2024,S026,P0074,481,144
01-01-2024,S026,P0064,315,65
01-01-2024,S026,P0118,335,86
01-01-2024,S026,P0004,271,131
01-01-2024,S026,P0155,210,133
01-01-2024,S026,P0104,45,137
01-01-2024,S026,P0050,157,98
01-01-2024,S026,P0089,95,71
01-01-2024,S026,P0008,415,109
01-01-2024,S026,P0114,344,49
01-01-2024,S026,P0097,192,25
01-01-2024,S026,P0023,84,30
01-01-2024,S026,P0030,472,110
01-01-2024,S026,P0037,270,41
01-01-2024,S026,P0125,69,61
01-01-2024,S026,P0179,105,63
01-01-2024,S026,P0069,245,101
01-01-2024,S026,P0127,303,112
01-01-2024,S026,P0072,151,60
01-01-2024,S026,P0093,216,142
01-01-2024,S026,P0078,369,65
01-01-2024,S026,P0016,352,60
01-01-2024,S026,P0150,367,91
01-01-2024,S026,P0178,46,100
01-01-2024,S026,P0043,25,87
01-01-2024,S026,P0080,134,40
01-01-2024,S026,P0169,427,25
01-01-2024,S014,P0157,409,109
01-01-2024,S014,P0115,45,60
01-01-2024,S014,P0164,428,67
01-01-2024,S014,P0084,91,29
01-01-2024,S014,P0087,286,20
01-01-2024,S014,P0129,372,46
01-01-2024,S014,P0161,67,63
01-01-2024,S014,P0031,426,56
01-01-2024,S014,P0145,398,61
01-01-2024,S014,P0112,79,50
01-01-2024,S014,P0035,161,71
01-01-2024,S014,P0040,69,79
01-01-2024,S014,P0018,299,49
01-01-2024,S014,P0106,214,105
01-01-2024,S014,P0006,102,100
01-01-2024,S014,P0107,396,102
01-01-2024,S014,P0083,382,36
01-01-2024,S014,P0052,368,64
01-01-2024,S014,P0162,203,119
01-01-2024,S014,P0003,117,41
01-01-2024,S014,P0110,112,70
01-01-2024,S014,P0091,356,47
01-01-2024,S014,P0059,192,31
01-01-2024,S014,P0024,38,105
01-01-2024,S014,P0019,194,110
01-01-2024,S014,P0131,154,125
01-01-2024,S014,P0098,462,139
01-01-2024,S014,P0128,401,129
01-01-2024,S014,P0092,345,88
01-01-2024,S014,P0005,138,30
01-01-2024,S014,P0033,441,92
01-01-2024,S014,P0138,456,135
01-01-2024,S014,P0109,213,25
01-01-2024,S014,P0176,104,43
01-01-2024,S014,P0168,299,80
01-01-2024,S014,P0013,326,43
01-01-2024,S014,P0014,329,60
01-01-2024,S014,P0081,29,64
01-01-2024,S014,P0174,177,83
01-01-2024,S014,P0002,222,49
01-01-2024,S014,P0077,419,131
01-01-2024,S014,P0021,266,22
01-01-2024,S014,P0036,67,62
01-01-2024,S014,P0141,384,129
01-01-2024,S014,P0088,450,20
01-01-2024,S014,P0153,157,54
01-01-2024,S014,P0045,431,31
01-01-2024,S014,P0130,126,31
01-01-2024,S014,P0025,128,35
01-01-2024,S014,P0039,10,120
01-01-2024,S014,P0159,471,130
01-01-2024,S014,P0015,259,38
01-01-2024,S014,P0075,139,140
01-01-2024,S014,P0122,236,97
01-01-2024,S014,P0120,482,38
01-01-2024,S014,P0060,399,25
01-01-2024,S014,P0171,83,62
01-01-2024,S014,P0175,332,77
01-01-2024,S014,P0022,87,29
01-01-2024,S014,P0067,477,75
01-01-2024,S014,P0156,109,49
01-01-2024,S014,P0103,369,20
01-01-2024,S014,P0054,322,51
01-01-2024,S014,P0047,478,69
01-01-2024,S014,P0167,229,95
01-01-2024,S014,P0090,369,50
01-01-2024,S014,P0102,76,139
01-01-2024,S014,P0057,197,81
01-01-2024,S014,P0062,313,93
01-01-2024,S014,P0154,6,78
01-01-2024,S014,P0076,367,44
01-01-2024,S014,P0056,244,133
01-01-2024,S014,P0095,493,80
01-01-2024,S014,P0028,125,141
01-01-2024,S014,P0152,295,133
01-01-2024,S014,P0137,472,127
01-01-2024,S014,P0139,303,66
01-01-2024,S014,P0166,492,50
01-01-2024,S014,P0026,179,73
01-01-2024,S014,P0029,127,129
01-01-2024,S014,P0034,287,83
01-01-2024,S014,P0101,452,50
01-01-2024,S014,P0020,349,73
01-01-2024,S014,P0017,292,31
01-01-2024,S014,P0123,336,123
01-01-2024,S014,P0136,40,92
01-01-2024,S014,P0044,243,93
01-01-2024,S014,P0011,99,31
01-01-2024,S014,P0094,49,49
01-01-2024,S014,P0143,474,46
01-01-2024,S014,P0032,140,77
01-01-2024,S014,P0071,59,137
01-01-2024,S014,P0113,119,129
01-01-2024,S014,P0061,221,101
01-01-2024,S014,P0042,245,136
01-01-2024,S014,P0063,109,28
01-01-2024,S014,P0117,86,69
01-01-2024,S014,P0051,435,26
01-01-2024,S014,P0086,363,146
01-01-2024,S014,P0146,415,72
01-01-2024,S014,P0134,25,36
01-01-2024,S014,P0012,441,126
01-01-2024,S014,P0148,315,38
01-01-2024,S014,P0105,365,67
01-01-2024,S014,P0096,15,144
01-01-2024,S014,P0116,321,48
01-01-2024,S014,P0133,110,138
01-01-2024,S014,P0079,281,90
01-01-2024,S014,P0135,244,44
01-01-2024,S014,P0041,297,73
01-01-2024,S014,P0180,433,82
01-01-2024,S014,P0121,0,30
01-01-2024,S014,P0007,82,76
01-01-2024,S014,P0119,42,72
01-01-2024,S014,P0082,96,49
01-01-2024,S014,P0068,355,50
01-01-2024,S014,P0124,102,131
01-01-2024,S014,P0142,353,77
01-01-2024,S014,P0170,64,111
01-01-2024,S014,P0140,392,89
01-01-2024,S014,P0108,271,65
01-01-2024,S014,P0147,184,37
01-01-2024,S014,P0160,59,140
01-01-2024,S014,P0074,75,32
01-01-2024,S014,P0064,160,111
01-01-2024,S014,P0118,123,90
01-01-2024,S014,P0004,161,76
01-01-2024,S014,P0155,341,50
01-01-2024,S014,P0104,361,132
01-01-2024,S014,P0050,284,34
01-01-2024,S014,P0089,55,42
01-01-2024,S014,P0008,27,103
01-01-2024,S014,P0114,162,70
01-01-2024,S014,P0097,72,22
01-01-2024,S014,P0023,175,112
01-01-2024,S014,P0030,175,38
01-01-2024,S014,P0037,25,83
01-01-2024,S014,P0125,226,38
01-01-2024,S014,P0179,179,97
01-01-2024,S014,P0069,224,90
01-01-2024,S014,P0127,268,76
01-01-2024,S014,P0072,134,23
01-01-2024,S014,P0093,130,128
01-01-2024,S014,P0078,130,76
01-01-2024,S014,P0016,18,68
01-01-2024,S014,P0150,303,48
01-01-2024,S014,P0178,402,56
01-01-2024,S014,P0043,97,143
01-01-2024,S014,P0080,338,115
01-01-2024,S014,P0169,51,92
01-01-2024,S018,P0157,275,108
01-01-2024,S018,P0115,216,62
01-01-2024,S018,P0164,386,28
01-01-2024,S018,P0084,456,74
01-01-2024,S018,P0087,268,107
01-01-2024,S018,P0129,227,64
01-01-2024,S018,P0161,216,124
01-01-2024,S018,P0031,326,49
01-01-2024,S018,P0145,105,92
01-01-2024,S018,P0112,294,91
01-01-2024,S018,P0035,15,53
01-01-2024,S018,P0040,174,117
01-01-2024,S018,P0018,491,111
01-01-2024,S018,P0106,46,65
01-01-2024,S018,P0006,71,145
01-01-2024,S018,P0107,53,56
01-01-2024,S018,P0083,321,25
01-01-2024,S018,P0052,272,149
01-01-2024,S018,P0162,180,29
01-01-2024,S018,P0003,378,136
01-01-2024,S018,P0110,300,74
01-01-2024,S018,P0091,467,128
01-01-2024,S018,P0059,345,27
01-01-2024,S018,P0024,343,147
