CustomerID,Gender,AgeGroup,LoyaltyTier,Region,City,SignupDate
C00221,F,35-44,Bronze,West,Ahmedabad,06-04-2020
C00222,M,35-44,Bronze,Central,Raipur,17-06-2021
C00223,M,45-54,Bronze,South,Bengaluru,06-04-2021
C00224,F,45-54,Bronze,North,Lucknow,18-08-2025
C00225,M,45-54,Bronze,Central,Nagpur,16-03-2022
C00226,M,45-54,Bronze,South,Chennai,17-05-2022
C00227,F,18-24,Bronze,South,Chennai,19-03-2021
C00228,F,18-24,Silver,Central,Bhopal,11-04-2024
C00229,F,25-34,Bronze,East,Guwahati,05-12-2020
C00230,M,45-54,Gold,Central,Raipur,11-02-2021
C00231,M,18-24,Bronze,East,Patna,08-07-2020
C00232,M,45-54,Guest,Central,Bhopal,22-08-2021
C00233,F,45-54,Silver,East,Patna,17-04-2022
C00234,F,55-64,Bronze,East,Kolkata,14-03-2020
C00235,M,35-44,Silver,Central,Nagpur,11-03-2023
C00236,M,35-44,Gold,North,Delhi,22-08-2023
C00237,F,35-44,Bronze,Central,Indore,12-12-2020
C00238,M,55-64,Bronze,East,Guwahati,29-03-2022
C00239,Other,55-64,Bronze,East,Bhubaneswar,25-02-2024
C00240,F,35-44,Gold,Central,Indore,03-12-2020
C00241,F,45-54,Silver,East,Patna,27-06-2021
C00242,M,35-44,Gold,East,Patna,24-03-2025
C00243,F,45-54,Gold,Central,Raipur,09-11-2023
C00244,F,45-54,Bronze,North,Chandigarh,09-05-2024
C00245,F,55-64,Gold,Central,Bhopal,27-08-2020
C00246,M,35-44,Guest,West,Mumbai,07-06-2023
C00247,F,65+,Bronze,Central,Bhopal,15-06-2023
C00248,F,55-64,Gold,North,Lucknow,05-07-2024
C00249,M,25-34,Silver,North,Delhi,08-08-2023
C00250,M,25-34,Bronze,West,Pune,27-03-2020
C00251,M,45-54,Bronze,Central,Nagpur,06-08-2020
C00252,F,35-44,Platinum,South,Hyderabad,16-10-2022
C00253,M,55-64,Silver,West,Ahmedabad,03-02-2022
C00254,F,18-24,Silver,East,Kolkata,02-06-2021
C00255,F,25-34,Silver,East,Guwahati,27-08-2022
C00256,F,25-34,Bronze,North,Chandigarh,28-01-2024
C00257,M,18-24,Bronze,West,Pune,26-07-2023
C00258,F,18-24,Bronze,East,Kolkata,08-03-2022
C00259,F,18-24,Silver,Central,Nagpur,02-11-2022
C00260,Other,18-24,Silver,West,Mumbai,20-05-2020
C00261,F,18-24,Silver,Central,Raipur,26-07-2021
C00262,M,35-44,Bronze,Central,Raipur,11-12-2020
C00263,M,35-44,Silver,West,Surat,23-04-2023
C00264,F,25-34,Bronze,East,Bhubaneswar,29-06-2025
C00265,F,35-44,Bronze,West,Mumbai,30-12-2021
C00266,M,18-24,Bronze,North,Delhi,20-01-2023
C00267,F,65+,Silver,East,Patna,31-08-2021
C00268,F,25-34,Gold,North,Chandigarh,07-12-2023
C00269,M,45-54,Silver,South,Chennai,04-11-2020
C00270,F,25-34,Silver,West,Surat,02-03-2022
C00271,F,65+,Guest,South,Bengaluru,18-10-2021
C00272,F,25-34,Gold,East,Bhubaneswar,07-02-2023
C00273,M,18-24,Silver,West,Surat,28-07-2022
C00274,M,25-34,Bronze,Central,Bhopal,03-12-2020
C00275,M,18-24,Bronze,East,Patna,04-10-2021
C00276,F,65+,Bronze,North,Delhi,07-12-2023
C00277,M,65+,Bronze,West,Mumbai,17-02-2025
C00278,F,25-34,Bronze,South,Kochi,27-05-2022
C00279,M,18-24,Gold,West,Pune,20-07-2021
C00280,F,55-64,Silver,Central,Nagpur,23-10-2022
C00281,M,65+,Bronze,West,Surat,16-04-2021
C00282,M,65+,Platinum,North,Delhi,26-12-2024
C00283,M,55-64,Bronze,West,Ahmedabad,05-11-2020
C00284,F,35-44,Guest,North,Delhi,28-07-2025
C00285,M,25-34,Bronze,West,Surat,27-01-2020
C00286,M,35-44,Bronze,West,Surat,22-12-2024
C00287,M,25-34,Silver,Central,Nagpur,26-05-2022
C00288,M,45-54,Silver,Central,Indore,28-05-2024
C00289,F,45-54,Bronze,South,Bengaluru,21-02-2023
C00290,F,35-44,Gold,West,Mumbai,26-03-2023
C00291,M,45-54,Bronze,West,Mumbai,24-10-2024
C00292,F,45-54,Silver,North,Chandigarh,22-08-2020
C00293,Other,25-34,Guest,West,Mumbai,22-07-2021
C00294,M,35-44,Silver,South,Chennai,06-06-2023
C00295,F,45-54,Silver,North,Delhi,31-07-2020
C00296,M,35-44,Platinum,Central,Raipur,16-01-2024
C00297,F,55-64,Bronze,Central,Bhopal,05-06-2022
C00298,M,65+,Gold,East,Guwahati,12-11-2022
C00299,M,65+,Bronze,North,Jaipur,28-04-2023
C00300,M,35-44,Gold,West,Mumbai,01-08-2023
C00301,F,35-44,Silver,East,Guwahati,05-12-2024
C00302,M,35-44,Silver,South,Bengaluru,04-05-2024
C00303,M,45-54,Platinum,East,Guwahati,09-08-2020
C00304,F,65+,Silver,North,Delhi,29-09-2020
C00305,F,45-54,Bronze,Central,Indore,20-03-2020
C00306,Other,45-54,Bronze,West,Surat,08-01-2021
C00307,M,65+,Bronze,North,Delhi,02-01-2024
C00308,M,45-54,Silver,Central,Indore,26-07-2025
C00309,F,55-64,Silver,South,Kochi,26-12-2021
C00310,Other,35-44,Gold,North,Delhi,03-02-2020
C00311,F,35-44,Silver,North,Chandigarh,12-01-2023
C00312,F,35-44,Silver,West,Mumbai,03-08-2024
C00313,M,25-34,Gold,Central,Raipur,30-05-2023
C00314,M,25-34,Gold,East,Kolkata,25-08-2024
C00315,F,65+,Bronze,East,Guwahati,19-01-2024
C00316,F,25-34,Guest,South,Kochi,08-02-2023
C00317,F,25-34,Silver,Central,Nagpur,21-05-2020
C00318,F,45-54,Silver,North,Lucknow,07-05-2025
C00319,F,45-54,Silver,Central,Nagpur,05-03-2025
C00320,F,35-44,Silver,East,Bhubaneswar,23-10-2024
C00321,F,25-34,Bronze,South,Bengaluru,28-09-2025
C00322,F,25-34,Silver,North,Chandigarh,03-08-2020
C00323,F,18-24,Silver,West,Ahmedabad,28-02-2021
C00324,M,18-24,Gold,East,Bhubaneswar,25-11-2023
C00325,F,25-34,Bronze,Central,Bhopal,13-10-2023
C00326,F,35-44,Gold,South,Chennai,30-04-2022
C00327,M,35-44,Silver,Central,Raipur,28-06-2023
C00328,M,45-54,Gold,East,Bhubaneswar,18-08-2024
C00329,F,55-64,Gold,West,Surat,29-09-2023
C00330,F,35-44,Silver,East,Guwahati,28-03-2020
C00331,M,25-34,Gold,East,Bhubaneswar,13-04-2021
C00332,M,65+,Silver,North,Delhi,22-07-2020
C00333,M,25-34,Silver,East,Guwahati,20-05-2024
C00334,M,45-54,Bronze,West,Mumbai,17-07-2021
C00335,M,25-34,Silver,Central,Bhopal,01-03-2025
C00336,F,35-44,Platinum,Central,Raipur,05-11-2023
C00337,F,65+,Bronze,Central,Raipur,25-05-2023
C00338,F,25-34,Gold,Central,Bhopal,06-09-2020
C00339,M,55-64,Bronze,South,Chennai,11-03-2020
C00340,M,25-34,Silver,South,Hyderabad,12-05-2024
C00341,F,45-54,Bronze,East,Guwahati,22-04-2021
C00342,F,35-44,Gold,East,Kolkata,13-06-2025
C00343,F,35-44,Gold,East,Patna,15-03-2020
C00344,M,35-44,Gold,West,Ahmedabad,07-07-2022
C00345,F,55-64,Silver,Central,Indore,29-03-2025
C00346,F,35-44,Gold,North,Chandigarh,13-01-2021
C00347,F,35-44,Silver,North,Jaipur,01-11-2021
C00348,F,35-44,Bronze,North,Chandigarh,01-10-2022
C00349,M,35-44,Bronze,South,Kochi,09-05-2022
C00350,M,25-34,Gold,East,Kolkata,09-06-2025
C00351,F,25-34,Silver,East,Kolkata,13-11-2022
C00352,Other,55-64,Bronze,North,Chandigarh,11-01-2025
C00353,M,35-44,Platinum,South,Kochi,12-02-2024
C00354,F,35-44,Silver,North,Chandigarh,30-06-2022
C00355,F,45-54,Gold,East,Kolkata,15-08-2025
C00356,F,65+,Silver,East,Guwahati,03-05-2021
C00357,F,25-34,Silver,Central,Nagpur,01-05-2024
C00358,M,55-64,Silver,Central,Nagpur,23-07-2021
C00359,M,55-64,Gold,South,Hyderabad,20-11-2021
C00360,F,25-34,Bronze,North,Delhi,03-01-2022
C00361,M,25-34,Bronze,North,Lucknow,23-04-2020
C00362,M,65+,Silver,West,Mumbai,20-11-2021
C00363,F,25-34,Silver,South,Kochi,25-11-2020
C00364,M,18-24,Guest,South,Kochi,01-05-2021
C00365,M,25-34,Bronze,East,Guwahati,04-02-2022
C00366,M,25-34,Bronze,East,Guwahati,17-09-2023
C00367,Other,18-24,Bronze,East,Kolkata,13-05-2023
C00368,M,35-44,Silver,Central,Indore,17-01-2023
C00369,F,35-44,Bronze,East,Kolkata,24-05-2024
C00370,F,45-54,Bronze,West,Ahmedabad,25-12-2020
C00371,F,55-64,Gold,Central,Raipur,18-02-2020
C00372,F,55-64,Gold,East,Guwahati,28-06-2021
C00373,F,65+,Silver,East,Bhubaneswar,07-06-2025
C00374,F,35-44,Bronze,North,Chandigarh,14-07-2020
C00375,M,45-54,Bronze,East,Guwahati,29-06-2021
C00376,F,45-54,Silver,West,Pune,28-03-2025
C00377,F,18-24,Bronze,South,Bengaluru,29-10-2024
C00378,M,25-34,Gold,Central,Bhopal,20-05-2021
C00379,M,25-34,Gold,West,Pune,22-02-2020
C00380,F,25-34,Silver,South,Hyderabad,24-10-2022
C00381,M,25-34,Silver,North,Chandigarh,04-11-2020
C00382,F,25-34,Bronze,North,Chandigarh,14-06-2023
C00383,F,25-34,Gold,South,Chennai,07-11-2021
C00384,M,25-34,Silver,South,Bengaluru,23-06-2024
C00385,F,25-34,Silver,East,Patna,24-12-2024
C00386,M,45-54,Silver,Central,Indore,17-12-2023
C00387,M,25-34,Bronze,North,Delhi,29-01-2024
C00388,M,25-34,Bronze,West,Ahmedabad,07-01-2021
C00389,M,55-64,Platinum,North,Lucknow,06-02-2020
C00390,F,35-44,Platinum,South,Chennai,12-08-2024
C00391,F,65+,Bronze,East,Patna,29-06-2025
C00392,M,45-54,Gold,North,Jaipur,28-06-2021
C00393,M,25-34,Gold,West,Ahmedabad,11-01-2025
C00394,M,25-34,Silver,East,Guwahati,10-03-2024
C00395,M,55-64,Gold,Central,Indore,23-04-2021
C00396,F,25-34,Silver,Central,Nagpur,13-06-2022
C00397,F,18-24,Silver,West,Surat,02-01-2020
C00398,F,45-54,Silver,East,Kolkata,31-12-2022
C00399,M,18-24,Gold,Central,Raipur,05-03-2024
C00400,F,18-24,Silver,North,Delhi,01-07-2025
C00401,Other,45-54,Bronze,Central,Indore,26-10-2024
C00402,F,25-34,Silver,East,Kolkata,03-10-2024
C00403,M,45-54,Platinum,South,Kochi,10-09-2020
C00404,M,35-44,Bronze,East,Patna,16-01-2024
C00405,F,18-24,Bronze,Central,Raipur,08-06-2021
C00406,M,55-64,Gold,East,Guwahati,24-11-2021
C00407,M,25-34,Guest,North,Lucknow,17-02-2020
C00408,M,45-54,Guest,North,Jaipur,01-09-2024
C00409,M,45-54,Bronze,West,Surat,07-01-2023
C00410,M,35-44,Bronze,North,Delhi,26-02-2020
C00411,M,55-64,Gold,South,Hyderabad,23-06-2023
C00412,F,18-24,Silver,South,Kochi,15-08-2020
C00413,M,25-34,Bronze,North,Lucknow,02-01-2024
C00414,M,55-64,Gold,East,Patna,25-04-2024
C00415,F,25-34,Silver,East,Patna,01-05-2021
C00416,Other,35-44,Bronze,Central,Bhopal,02-10-2021
C00417,F,55-64,Bronze,Central,Bhopal,24-04-2021
C00418,F,25-34,Bronze,West,Mumbai,06-07-2021
C00419,M,25-34,Bronze,Central,Raipur,13-10-2020
C00420,M,25-34,Bronze,West,Mumbai,03-05-2021
C00421,F,45-54,Bronze,Central,Raipur,23-10-2023
C00422,F,35-44,Guest,West,Pune,29-02-2024
C00423,M,35-44,Bronze,South,Bengaluru,22-02-2021
C00424,M,55-64,Bronze,West,Ahmedabad,29-05-2020
C00425,M,45-54,Platinum,South,Hyderabad,19-02-2020
C00426,F,25-34,Bronze,South,Kochi,09-02-2020
C00427,M,65+,Guest,East,Guwahati,03-02-2020
C00428,M,45-54,Bronze,West,Pune,26-02-2021
C00429,M,55-64,Silver,North,Lucknow,21-05-2024
C00430,M,35-44,Gold,East,Guwahati,02-07-2024
C00431,M,65+,Gold,West,Surat,16-09-2020
C00432,M,35-44,Silver,South,Kochi,01-07-2025
C00433,M,35-44,Silver,South,Kochi,09-10-2024
C00434,F,35-44,Silver,West,Surat,15-08-2024
C00435,M,25-34,Silver,East,Bhubaneswar,07-02-2023
C00436,M,35-44,Platinum,Central,Nagpur,27-12-2020
C00437,M,55-64,Bronze,North,Jaipur,11-09-2022
C00438,F,45-54,Bronze,South,Kochi,04-12-2020
C00439,F,25-34,Bronze,East,Bhubaneswar,15-05-2025
C00440,M,45-54,Silver,North,Lucknow,11-04-2025
C00441,M,18-24,Bronze,South,Bengaluru,09-02-2020
C00442,F,25-34,Silver,East,Guwahati,02-04-2023
C00443,M,35-44,Gold,West,Mumbai,27-08-2022
C00444,M,45-54,Gold,Central,Indore,17-03-2023
C00445,M,25-34,Silver,West,Pune,23-10-2024
C00446,M,35-44,Silver,East,Patna,29-07-2021
C00447,F,35-44,Bronze,North,Delhi,29-07-2024
C00448,F,65+,Bronze,West,Pune,02-05-2022
C00449,F,25-34,Gold,North,Chandigarh,19-07-2025
C00450,F,65+,Bronze,South,Hyderabad,08-08-2024
C00451,F,25-34,Bronze,East,Kolkata,14-10-2022
C00452,M,55-64,Bronze,North,Jaipur,17-10-2020
C00453,M,45-54,Gold,South,Bengaluru,30-05-2025
C00454,F,45-54,Bronze,North,Chandigarh,19-11-2023
C00455,M,35-44,Bronze,West,Surat,04-07-2022
C00456,F,18-24,Bronze,North,Chandigarh,02-05-2025
C00457,F,35-44,Bronze,North,Lucknow,01-08-2020
C00458,M,35-44,Silver,Central,Nagpur,03-03-2024
C00459,M,35-44,Bronze,North,Lucknow,16-08-2024
C00460,F,18-24,Gold,West,Pune,14-10-2022
C00461,M,35-44,Gold,South,Bengaluru,12-07-2025
C00462,M,55-64,Silver,East,Bhubaneswar,24-08-2020
C00463,M,55-64,Silver,Central,Indore,01-09-2022
C00464,F,35-44,Bronze,West,Ahmedabad,09-08-2021
C00465,M,35-44,Bronze,Central,Indore,24-03-2024
C00466,F,55-64,Guest,East,Bhubaneswar,23-06-2025
C00467,F,65+,Silver,Central,Nagpur,27-08-2020
C00468,M,25-34,Gold,Central,Indore,13-01-2025
C00469,M,35-44,Bronze,South,Hyderabad,05-11-2020
C00470,M,35-44,Bronze,Central,Indore,27-01-2021
C00471,F,35-44,Bronze,East,Guwahati,11-06-2020
C00472,F,25-34,Silver,Central,Indore,24-10-2021
C00473,Other,45-54,Bronze,West,Mumbai,17-03-2023
C00474,M,35-44,Gold,East,Kolkata,16-11-2020
